,Fecha,Ciudad,Tipo_Enlace,Traffic
0,2019-08-01 00:00:00,Alausi,P,0.19
1,2019-08-01 00:00:00,Ambato,B,3.44
2,2019-08-01 00:00:00,Ambato,P,3.31
3,2019-08-01 00:00:00,Atuntaqui,B,0.06
4,2019-08-01 00:00:00,Atuntaqui,P,0.0
5,2019-08-01 00:00:00,Babahoyo,B,0.81
6,2019-08-01 00:00:00,Babahoyo,P,1.29
7,2019-08-01 00:00:00,Balsas,B,0.0
8,2019-08-01 00:00:00,Balsas,P,0.05
9,2019-08-01 00:00:00,Balzar,B,0.0
10,2019-08-01 00:00:00,Balzar,P,0.28
11,2019-08-01 00:00:00,Banos,B,0.28
12,2019-08-01 00:00:00,Banos,P,0.3
13,2019-08-01 00:00:00,Cayambe,B,1.11
14,2019-08-01 00:00:00,Cayambe,P,0.04
15,2019-08-01 00:00:00,Coca,B,0.0
16,2019-08-01 00:00:00,Coca,P,0.0
17,2019-08-01 00:00:00,Cotacachi,B,0.0
18,2019-08-01 00:00:00,Cotacachi,P,0.16
19,2019-08-01 00:00:00,Cuenca,B,2.29
20,2019-08-01 00:00:00,Cuenca,P,2.52
21,2019-08-01 00:00:00,Daule,B,0.14
22,2019-08-01 00:00:00,Daule,P,0.21
23,2019-08-01 00:00:00,Duran,B,0.47
24,2019-08-01 00:00:00,Duran,P,0.17
25,2019-08-01 00:00:00,Esmeraldas,B,1.88
26,2019-08-01 00:00:00,Esmeraldas,P,1.77
27,2019-08-01 00:00:00,Guaranda,B,0.41
28,2019-08-01 00:00:00,Guaranda,P,0.39
29,2019-08-01 00:00:00,Gyea,P,39.510000000000005
30,2019-08-01 00:00:00,Gyec,P,12.589999999999998
31,2019-08-01 00:00:00,Gyei,P,53.349999999999994
32,2019-08-01 00:00:00,Gyek,P,17.439999999999998
33,2019-08-01 00:00:00,Gyem,P,10.899999999999999
34,2019-08-01 00:00:00,Gyes,P,74.32000000000001
35,2019-08-01 00:00:00,Ibarra,B,2.98
36,2019-08-01 00:00:00,Ibarra,P,2.55
37,2019-08-01 00:00:00,Jipijapa,B,0.91
38,2019-08-01 00:00:00,Jipijapa,P,0.83
39,2019-08-01 00:00:00,Lagoagrio,B,0.25
40,2019-08-01 00:00:00,Lagoagrio,P,0.0
