,Fecha,Ciudad,Tipo_Enlace,Traffic
0,2019-12-01 00:00:00,Alausi,P,0.22
1,2019-12-01 00:00:00,Ambato,B,3.43
2,2019-12-01 00:00:00,Ambato,P,3.12
3,2019-12-01 00:00:00,Atuntaqui,B,0.36
4,2019-12-01 00:00:00,Atuntaqui,P,0.67
5,2019-12-01 00:00:00,Babahoyo,B,1.08
6,2019-12-01 00:00:00,Babahoyo,P,1.51
7,2019-12-01 00:00:00,Balsas,B,0.0
8,2019-12-01 00:00:00,Balsas,P,0.1
9,2019-12-01 00:00:00,Balzar,B,0.0
10,2019-12-01 00:00:00,Balzar,P,0.32
11,2019-12-01 00:00:00,Banos,B,0.24
12,2019-12-01 00:00:00,Banos,P,0.29
13,2019-12-01 00:00:00,Cayambe,B,1.09
14,2019-12-01 00:00:00,Cayambe,P,0.08
15,2019-12-01 00:00:00,Coca,B,0.01
16,2019-12-01 00:00:00,Coca,P,0.07
17,2019-12-01 00:00:00,Cotacachi,B,0.0
18,2019-12-01 00:00:00,Cotacachi,P,0.24
19,2019-12-01 00:00:00,Cuenca,B,2.66
20,2019-12-01 00:00:00,Cuenca,P,3.13
21,2019-12-01 00:00:00,Daule,B,0.23
22,2019-12-01 00:00:00,Daule,P,0.22
23,2019-12-01 00:00:00,Duran,B,0.57
24,2019-12-01 00:00:00,Duran,P,0.2
25,2019-12-01 00:00:00,Esmeraldas,P,0.06
26,2019-12-01 00:00:00,Esmeraldas2,B,2.12
27,2019-12-01 00:00:00,Esmeraldas2,P,1.89
28,2019-12-01 00:00:00,Guaranda,B,0.41
29,2019-12-01 00:00:00,Guaranda,P,0.4
30,2019-12-01 00:00:00,Gyea,P,42.059999999999995
31,2019-12-01 00:00:00,Gyec,P,13.759999999999998
32,2019-12-01 00:00:00,Gyei,P,64.34
33,2019-12-01 00:00:00,Gyek,P,17.95
34,2019-12-01 00:00:00,Gyem,P,23.78
35,2019-12-01 00:00:00,Gyes,P,90.57999999999998
36,2019-12-01 00:00:00,Ibarra,B,3.23
37,2019-12-01 00:00:00,Ibarra,P,2.69
38,2019-12-01 00:00:00,Jipijapa,B,0.84
39,2019-12-01 00:00:00,Jipijapa,P,0.84
40,2019-12-01 00:00:00,Lagoagrio,B,0.29
41,2019-12-01 00:00:00,Lagoagrio,P,0.3
42,2019-12-01 00:00:00,Latacunga,B,0.69
43,2019-12-01 00:00:00,Latacunga,P,0.7
