,Fecha,Ciudad,Tipo_Enlace,Traffic
0,2020-02-01 00:00:00,Alausi,P,0.16
1,2020-02-01 00:00:00,Ambato,B,3.66
2,2020-02-01 00:00:00,Ambato,P,3.88
3,2020-02-01 00:00:00,Atuntaqui,B,0.42
4,2020-02-01 00:00:00,Atuntaqui,P,0.75
5,2020-02-01 00:00:00,Babahoyo,B,1.22
6,2020-02-01 00:00:00,Babahoyo,P,1.42
7,2020-02-01 00:00:00,Balsas,B,0.0
8,2020-02-01 00:00:00,Balsas,P,0.08
9,2020-02-01 00:00:00,Balzar,B,0.0
10,2020-02-01 00:00:00,Balzar,P,0.4
11,2020-02-01 00:00:00,Banos,B,0.31
12,2020-02-01 00:00:00,Banos,P,0.28
13,2020-02-01 00:00:00,Cayambe,B,1.04
14,2020-02-01 00:00:00,Cayambe,P,0.11
15,2020-02-01 00:00:00,Coca,B,0.05
16,2020-02-01 00:00:00,Coca,P,0.11
17,2020-02-01 00:00:00,Cotacachi,B,0.0
18,2020-02-01 00:00:00,Cotacachi,P,0.19
19,2020-02-01 00:00:00,Cuenca,B,2.99
20,2020-02-01 00:00:00,Cuenca,P,3.52
21,2020-02-01 00:00:00,Daule,B,0.22
22,2020-02-01 00:00:00,Daule,P,0.22
23,2020-02-01 00:00:00,Duran,B,0.53
24,2020-02-01 00:00:00,Duran,P,0.53
25,2020-02-01 00:00:00,Esmeraldas,P,0.08
26,2020-02-01 00:00:00,Esmeraldas2,B,2.49
27,2020-02-01 00:00:00,Esmeraldas2,P,2.63
28,2020-02-01 00:00:00,Guaranda,B,0.44
29,2020-02-01 00:00:00,Guaranda,P,0.49
30,2020-02-01 00:00:00,Gyea,P,44.32000000000001
31,2020-02-01 00:00:00,Gyec,P,15.339999999999998
32,2020-02-01 00:00:00,Gyei,P,72.25999999999999
33,2020-02-01 00:00:00,Gyek,P,20.57
34,2020-02-01 00:00:00,Gyem,P,25.5
35,2020-02-01 00:00:00,Gyes,P,101.05000000000001
36,2020-02-01 00:00:00,Ibarra,B,3.91
37,2020-02-01 00:00:00,Ibarra,P,3.1
38,2020-02-01 00:00:00,Jipijapa,B,1.05
39,2020-02-01 00:00:00,Jipijapa,P,1.07
40,2020-02-01 00:00:00,Lagoagrio,B,0.0
41,2020-02-01 00:00:00,Lagoagrio,P,0.0
42,2020-02-01 00:00:00,Latacunga,B,0.99
43,2020-02-01 00:00:00,Latacunga,P,0.75
44,2020-02-01 00:00:00,Loja,B,0.58
45,2020-02-01 00:00:00,Loja,P,0.63
46,2020-02-01 00:00:00,Macas,B,0.01
47,2020-02-01 00:00:00,Macas,P,0.0
48,2020-02-01 00:00:00,Machala,B,2.9
49,2020-02-01 00:00:00,Machala,P,2.98
50,2020-02-01 00:00:00,Manta,B,6.3
51,2020-02-01 00:00:00,Manta,P,7.52
52,2020-02-01 00:00:00,Milagro,B,5.48
53,2020-02-01 00:00:00,Milagro,P,0.0
54,2020-02-01 00:00:00,Montecristi,B,0.0
55,2020-02-01 00:00:00,Montecristi,P,0.1
56,2020-02-01 00:00:00,Naranjal,B,0.0
57,2020-02-01 00:00:00,Naranjal,P,1.07
58,2020-02-01 00:00:00,Otavalo,B,1.12
59,2020-02-01 00:00:00,Otavalo,P,0.89
60,2020-02-01 00:00:00,Palestina,B,0.0
61,2020-02-01 00:00:00,Palestina,P,0.03
62,2020-02-01 00:00:00,Pedernales,B,0.04
63,2020-02-01 00:00:00,Pedernales,P,0.0
64,2020-02-01 00:00:00,Pifo,B,0.7
65,2020-02-01 00:00:00,Pifo,P,0.78
66,2020-02-01 00:00:00,Pinas,B,0.14
67,2020-02-01 00:00:00,Pinas,P,0.14
68,2020-02-01 00:00:00,Playas,B,0.0
69,2020-02-01 00:00:00,Playas,P,0.91
70,2020-02-01 00:00:00,Portoviejo,B,6.72
71,2020-02-01 00:00:00,Portoviejo,P,5.82
72,2020-02-01 00:00:00,Posorja,B,0.0
73,2020-02-01 00:00:00,Posorja,P,0.43
74,2020-02-01 00:00:00,Progreso,B,0.0
75,2020-02-01 00:00:00,Progreso,P,0.01
76,2020-02-01 00:00:00,Puyo,B,0.85
77,2020-02-01 00:00:00,Puyo,P,0.76
78,2020-02-01 00:00:00,Quininde,B,0.03
