,Fecha,Ciudad,Tipo_Enlace,Traffic
0,2019-07-01 00:00:00,Alausi,P,0.17
1,2019-07-01 00:00:00,Ambato,B,2.64
2,2019-07-01 00:00:00,Ambato,P,2.89
3,2019-07-01 00:00:00,Atuntaqui,B,0.0
4,2019-07-01 00:00:00,Atuntaqui,P,0.0
5,2019-07-01 00:00:00,Babahoyo,B,0.97
6,2019-07-01 00:00:00,Babahoyo,P,0.79
7,2019-07-01 00:00:00,Balsas,B,0.0
8,2019-07-01 00:00:00,Balsas,P,0.06
9,2019-07-01 00:00:00,Balzar,B,0.0
10,2019-07-01 00:00:00,Balzar,P,0.25
11,2019-07-01 00:00:00,Banos,B,0.3
12,2019-07-01 00:00:00,Banos,P,0.18
13,2019-07-01 00:00:00,Cayambe,B,0.0
14,2019-07-01 00:00:00,Cayambe,P,0.95
15,2019-07-01 00:00:00,Coca,B,0.0
16,2019-07-01 00:00:00,Coca,P,0.0
17,2019-07-01 00:00:00,Cotacachi,B,0.0
18,2019-07-01 00:00:00,Cotacachi,P,0.18
19,2019-07-01 00:00:00,Cuenca,B,1.74
20,2019-07-01 00:00:00,Cuenca,P,2.54
21,2019-07-01 00:00:00,Daule,B,0.14
22,2019-07-01 00:00:00,Daule,P,0.13
23,2019-07-01 00:00:00,Duran,B,0.61
24,2019-07-01 00:00:00,Duran,P,0.02
25,2019-07-01 00:00:00,Esmeraldas,B,1.66
26,2019-07-01 00:00:00,Esmeraldas,P,1.72
27,2019-07-01 00:00:00,Guaranda,B,0.3
28,2019-07-01 00:00:00,Guaranda,P,0.29
29,2019-07-01 00:00:00,Gyea,P,37.11
30,2019-07-01 00:00:00,Gyec,P,12.590000000000002
31,2019-07-01 00:00:00,Gyei,P,54.09
32,2019-07-01 00:00:00,Gyek,P,17.31
33,2019-07-01 00:00:00,Gyem,P,0.0
34,2019-07-01 00:00:00,Gyes,P,76.0
35,2019-07-01 00:00:00,Ibarra,B,2.9
36,2019-07-01 00:00:00,Ibarra,P,2.19
37,2019-07-01 00:00:00,Jipijapa,B,0.79
38,2019-07-01 00:00:00,Jipijapa,P,0.79
39,2019-07-01 00:00:00,Lagoagrio,B,0.25
40,2019-07-01 00:00:00,Lagoagrio,P,0.21
41,2019-07-01 00:00:00,Latacunga,B,0.59
42,2019-07-01 00:00:00,Latacunga,P,0.45
43,2019-07-01 00:00:00,Loja,B,0.14
44,2019-07-01 00:00:00,Loja,P,0.11
45,2019-07-01 00:00:00,Macas,B,0.0
46,2019-07-01 00:00:00,Macas,P,0.0
47,2019-07-01 00:00:00,Machala,B,2.07
48,2019-07-01 00:00:00,Machala,P,1.96
49,2019-07-01 00:00:00,Manta,B,4.74
50,2019-07-01 00:00:00,Manta,P,5.36
51,2019-07-01 00:00:00,Milagro,B,3.56
52,2019-07-01 00:00:00,Milagro,P,3.45
53,2019-07-01 00:00:00,Naranjal,B,0.0
54,2019-07-01 00:00:00,Naranjal,P,0.72
55,2019-07-01 00:00:00,Otavalo,B,0.79
56,2019-07-01 00:00:00,Otavalo,P,0.64
57,2019-07-01 00:00:00,Pifo,B,0.54
58,2019-07-01 00:00:00,Pifo,P,0.64
59,2019-07-01 00:00:00,Pinas,B,0.12
60,2019-07-01 00:00:00,Pinas,P,0.11
61,2019-07-01 00:00:00,Playas,B,0.0
62,2019-07-01 00:00:00,Playas,P,0.48
63,2019-07-01 00:00:00,Portoviejo,B,4.94
64,2019-07-01 00:00:00,Portoviejo,P,5.01
65,2019-07-01 00:00:00,Posorja,B,0.0
66,2019-07-01 00:00:00,Posorja,P,0.34
67,2019-07-01 00:00:00,Progreso,B,0.0
68,2019-07-01 00:00:00,Progreso,P,0.0
69,2019-07-01 00:00:00,Puyo,B,0.64
70,2019-07-01 00:00:00,Puyo,P,0.8
71,2019-07-01 00:00:00,Qvdo,B,2.86
72,2019-07-01 00:00:00,Qvdo,P,2.83
73,2019-07-01 00:00:00,Riobamba,B,5.73
74,2019-07-01 00:00:00,Riobamba,P,6.22
75,2019-07-01 00:00:00,Salcedo,B,0.0
76,2019-07-01 00:00:00,Salcedo,P,0.04
77,2019-07-01 00:00:00,Salinas,B,4.09
78,2019-07-01 00:00:00,Salinas,P,5.22
79,2019-07-01 00:00:00,Santarosa,B,0.0
80,2019-07-01 00:00:00,Santarosa,P,0.01
81,2019-07-01 00:00:00,Shushufindi,B,0.0
82,2019-07-01 00:00:00,Shushufindi,P,0.0
83,2019-07-01 00:00:00,Stodomingo,B,2.32
84,2019-07-01 00:00:00,Stodomingo,P,0.0
85,2019-07-01 00:00:00,Tarifa,B,0.0
86,2019-07-01 00:00:00,Tarifa,P,0.08
87,2019-07-01 00:00:00,Tena,B,0.25
88,2019-07-01 00:00:00,Tena,P,0.23
89,2019-07-01 00:00:00,Tonsupa,B,0.11
90,2019-07-01 00:00:00,Tonsupa,P,0.24
91,2019-07-01 00:00:00,Tulcan,B,0.33
92,2019-07-01 00:00:00,Tulcan,P,0.15
93,2019-07-01 00:00:00,Uioa,P,21.96
94,2019-07-01 00:00:00,Uiob,P,20.94
95,2019-07-01 00:00:00,Uiod,P,47.79
96,2019-07-01 00:00:00,Uiog,P,36.4
97,2019-07-01 00:00:00,Uiom,P,14.129999999999999
98,2019-07-01 00:00:00,Uios,P,20.450000000000003
99,2019-07-01 00:00:00,Vinces,B,0.31
100,2019-07-01 00:00:00,Vinces,P,0.31
101,2019-07-01 00:00:00,Virgendefatima,B,0.38
102,2019-07-01 00:00:00,Virgendefatima,P,0.02
103,2019-07-01 00:00:00,Zaruma,B,0.0
104,2019-07-01 00:00:00,Zaruma,P,0.02
105,2019-07-01 02:00:00,Alausi,P,0.09
106,2019-07-01 02:00:00,Ambato,B,1.16
107,2019-07-01 02:00:00,Ambato,P,1.2
108,2019-07-01 02:00:00,Atuntaqui,B,0.0
109,2019-07-01 02:00:00,Atuntaqui,P,0.0
110,2019-07-01 02:00:00,Babahoyo,B,0.44
111,2019-07-01 02:00:00,Babahoyo,P,0.16
112,2019-07-01 02:00:00,Balsas,B,0.0
113,2019-07-01 02:00:00,Balsas,P,0.03
114,2019-07-01 02:00:00,Balzar,B,0.0
115,2019-07-01 02:00:00,Balzar,P,0.11
116,2019-07-01 02:00:00,Banos,B,0.12
117,2019-07-01 02:00:00,Banos,P,0.09
118,2019-07-01 02:00:00,Cayambe,B,0.0
119,2019-07-01 02:00:00,Cayambe,P,0.32
120,2019-07-01 02:00:00,Coca,B,0.0
121,2019-07-01 02:00:00,Coca,P,0.0
122,2019-07-01 02:00:00,Cotacachi,B,0.0
123,2019-07-01 02:00:00,Cotacachi,P,0.08
124,2019-07-01 02:00:00,Cuenca,B,0.83
125,2019-07-01 02:00:00,Cuenca,P,1.07
126,2019-07-01 02:00:00,Daule,B,0.06
127,2019-07-01 02:00:00,Daule,P,0.07
128,2019-07-01 02:00:00,Duran,B,0.27
129,2019-07-01 02:00:00,Duran,P,0.01
130,2019-07-01 02:00:00,Esmeraldas,B,0.76
131,2019-07-01 02:00:00,Esmeraldas,P,0.79
132,2019-07-01 02:00:00,Guaranda,B,0.12
133,2019-07-01 02:00:00,Guaranda,P,0.11
134,2019-07-01 02:00:00,Gyea,P,11.110000000000001
135,2019-07-01 02:00:00,Gyec,P,5.11
136,2019-07-01 02:00:00,Gyei,P,19.21
137,2019-07-01 02:00:00,Gyek,P,7.98
138,2019-07-01 02:00:00,Gyem,P,0.0
139,2019-07-01 02:00:00,Gyes,P,29.04
140,2019-07-01 02:00:00,Ibarra,B,1.34
141,2019-07-01 02:00:00,Ibarra,P,0.97
142,2019-07-01 02:00:00,Jipijapa,B,0.3
143,2019-07-01 02:00:00,Jipijapa,P,0.4
144,2019-07-01 02:00:00,Lagoagrio,B,0.07
145,2019-07-01 02:00:00,Lagoagrio,P,0.08
146,2019-07-01 02:00:00,Latacunga,B,0.31
147,2019-07-01 02:00:00,Latacunga,P,0.21
148,2019-07-01 02:00:00,Loja,B,0.06
149,2019-07-01 02:00:00,Loja,P,0.05
150,2019-07-01 02:00:00,Macas,B,0.0
151,2019-07-01 02:00:00,Macas,P,0.0
152,2019-07-01 02:00:00,Machala,B,0.88
153,2019-07-01 02:00:00,Machala,P,0.92
154,2019-07-01 02:00:00,Manta,B,2.11
155,2019-07-01 02:00:00,Manta,P,2.17
156,2019-07-01 02:00:00,Milagro,B,1.43
157,2019-07-01 02:00:00,Milagro,P,1.38
158,2019-07-01 02:00:00,Naranjal,B,0.0
159,2019-07-01 02:00:00,Naranjal,P,0.26
160,2019-07-01 02:00:00,Otavalo,B,0.31
161,2019-07-01 02:00:00,Otavalo,P,0.3
162,2019-07-01 02:00:00,Pifo,B,0.19
163,2019-07-01 02:00:00,Pifo,P,0.2
164,2019-07-01 02:00:00,Pinas,B,0.03
165,2019-07-01 02:00:00,Pinas,P,0.06
166,2019-07-01 02:00:00,Playas,B,0.0
167,2019-07-01 02:00:00,Playas,P,0.24
168,2019-07-01 02:00:00,Portoviejo,B,2.4
169,2019-07-01 02:00:00,Portoviejo,P,2.44
170,2019-07-01 02:00:00,Posorja,B,0.0
171,2019-07-01 02:00:00,Posorja,P,0.14
