,Fecha,Ciudad,Tipo_Enlace,Traffic
0,2020-03-01 00:00:00,Alausi,P,0.25
1,2020-03-01 00:00:00,Ambato,B,4.28
2,2020-03-01 00:00:00,Ambato,P,4.63
3,2020-03-01 00:00:00,Atuntaqui,B,0.48
4,2020-03-01 00:00:00,Atuntaqui,P,0.84
5,2020-03-01 00:00:00,Babahoyo,B,1.58
6,2020-03-01 00:00:00,Babahoyo,P,1.89
7,2020-03-01 00:00:00,Balsas,B,0.0
8,2020-03-01 00:00:00,Balsas,P,0.06
9,2020-03-01 00:00:00,Balzar,B,0.0
10,2020-03-01 00:00:00,Balzar,P,0.43
11,2020-03-01 00:00:00,Banos,B,0.37
12,2020-03-01 00:00:00,Banos,P,0.34
13,2020-03-01 00:00:00,Cayambe,B,1.13
14,2020-03-01 00:00:00,Cayambe,P,0.16
15,2020-03-01 00:00:00,Coca,B,0.09
16,2020-03-01 00:00:00,Coca,P,0.13
17,2020-03-01 00:00:00,Cotacachi,B,0.0
18,2020-03-01 00:00:00,Cotacachi,P,0.25
19,2020-03-01 00:00:00,Cuenca,B,3.65
20,2020-03-01 00:00:00,Cuenca,P,3.41
21,2020-03-01 00:00:00,Daule,B,0.28
22,2020-03-01 00:00:00,Daule,P,0.28
23,2020-03-01 00:00:00,Duran,B,1.11
24,2020-03-01 00:00:00,Duran,P,0.05
25,2020-03-01 00:00:00,Esmeraldas,P,0.07
26,2020-03-01 00:00:00,Esmeraldas2,B,2.73
27,2020-03-01 00:00:00,Esmeraldas2,P,2.92
28,2020-03-01 00:00:00,Guaranda,B,0.67
29,2020-03-01 00:00:00,Guaranda,P,0.67
30,2020-03-01 00:00:00,Gyea,P,53.879999999999995
31,2020-03-01 00:00:00,Gyec,P,17.34
32,2020-03-01 00:00:00,Gyei,P,83.65
33,2020-03-01 00:00:00,Gyek,P,24.330000000000002
34,2020-03-01 00:00:00,Gyem,P,30.139999999999997
35,2020-03-01 00:00:00,Gyes,P,122.03999999999999
36,2020-03-01 00:00:00,Ibarra,B,4.18
