,Fecha,Ciudad,Tipo_Enlace,Traffic
0,2019-09-01 00:00:00,Alausi,P,0.27
1,2019-09-01 00:00:00,Ambato,B,2.95
2,2019-09-01 00:00:00,Ambato,P,3.29
3,2019-09-01 00:00:00,Atuntaqui,B,0.29
4,2019-09-01 00:00:00,Atuntaqui,P,0.69
5,2019-09-01 00:00:00,Babahoyo,B,0.84
6,2019-09-01 00:00:00,Babahoyo,P,1.41
7,2019-09-01 00:00:00,Balsas,B,0.0
8,2019-09-01 00:00:00,Balsas,P,0.06
9,2019-09-01 00:00:00,Balzar,B,0.0
10,2019-09-01 00:00:00,Balzar,P,0.32
11,2019-09-01 00:00:00,Banos,B,0.31
12,2019-09-01 00:00:00,Banos,P,0.23
13,2019-09-01 00:00:00,Cayambe,B,1.02
14,2019-09-01 00:00:00,Cayambe,P,0.09
15,2019-09-01 00:00:00,Coca,B,0.0
16,2019-09-01 00:00:00,Coca,P,0.01
17,2019-09-01 00:00:00,Cotacachi,B,0.0
18,2019-09-01 00:00:00,Cotacachi,P,0.17
19,2019-09-01 00:00:00,Cuenca,B,2.14
20,2019-09-01 00:00:00,Cuenca,P,2.5
21,2019-09-01 00:00:00,Daule,B,0.22
22,2019-09-01 00:00:00,Daule,P,0.22
23,2019-09-01 00:00:00,Duran,B,0.55
24,2019-09-01 00:00:00,Duran,P,0.2
25,2019-09-01 00:00:00,Esmeraldas,B,0.0
26,2019-09-01 00:00:00,Esmeraldas,P,0.0
27,2019-09-01 00:00:00,Esmeraldas2,B,0.0
28,2019-09-01 00:00:00,Esmeraldas2,P,0.0
29,2019-09-01 00:00:00,Guaranda,B,0.29
30,2019-09-01 00:00:00,Guaranda,P,0.32
31,2019-09-01 00:00:00,Gyea,P,38.34
32,2019-09-01 00:00:00,Gyec,P,12.719999999999999
33,2019-09-01 00:00:00,Gyei,P,58.47999999999999
34,2019-09-01 00:00:00,Gyek,P,17.380000000000003
35,2019-09-01 00:00:00,Gyem,P,21.62
36,2019-09-01 00:00:00,Gyes,P,85.13
37,2019-09-01 00:00:00,Ibarra,B,3.06
38,2019-09-01 00:00:00,Ibarra,P,2.33
39,2019-09-01 00:00:00,Jipijapa,B,0.95
40,2019-09-01 00:00:00,Jipijapa,P,0.92
41,2019-09-01 00:00:00,Lagoagrio,B,0.32
42,2019-09-01 00:00:00,Lagoagrio,P,0.29
43,2019-09-01 00:00:00,Latacunga,B,0.73
44,2019-09-01 00:00:00,Latacunga,P,0.43
45,2019-09-01 00:00:00,Loja,B,0.37
46,2019-09-01 00:00:00,Loja,P,0.24
47,2019-09-01 00:00:00,Macas,B,0.0
48,2019-09-01 00:00:00,Macas,P,0.0
49,2019-09-01 00:00:00,Machala,B,2.49
50,2019-09-01 00:00:00,Machala,P,2.35
51,2019-09-01 00:00:00,Manta,B,5.05
52,2019-09-01 00:00:00,Manta,P,5.76
53,2019-09-01 00:00:00,Milagro,B,4.91
