Fecha,Total,Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routermanta),Vlan200(routermanta),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routeresmeraldas),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routeralausi),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan100(routertena),Vlan200(routertena),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routermontecristi),Vlan200(routermontecristi),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routeresmeraldas2),Vlan200(routeresmeraldas2),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routerplayas),Vlan200(routerplayas),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan1001(routeruiob),Vlan2004(routeruios),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan2003(routergyei),Vlan1002(routergyem),Vlan2002(routergyem)
2020-04-01 00:00 - 02:00,770.42,0.09,0.9,4.17,4.97,2.07,1.1,3.98,4.28,0.58,0.77,0.04,-,0.61,-,7.88,7.65,-,4.5,7.9,7.9,0.27,0.0,3.54,3.7,0.15,0.0,0.24,0.25,0.22,0.22,0.0,0.01,0.14,0.0,1.19,1.18,0.63,0.65,0.67,0.71,0.08,7.96,6.37,0.33,0.33,0.0,0.0,0.34,0.96,1.22,0.19,0.0,0.04,0.0,4.22,5.63,4.36,3.92,5.22,6.06,1.37,1.51,0.49,0.19,0.45,-,0.56,0.64,0.01,0.04,0.63,1.45,0.17,-,0.0,0.1,2.85,3.67,0.19,-,0.05,0.04,0.12,0.0,0.29,0.0,0.96,0.56,0.51,0.17,1.03,1.02,0.32,0.51,0.1,0.0,0.27,0.08,0.44,1.13,0.53,0.65,12.78,14.98,-,5.02,4.2,1.64,15.07,15.07,8.98,8.99,17.28,13.65,13.66,11.95,11.07,14.09,13.89,14.24,8.83,9.86,7.32,7.01,7.77,8.75,7.13,7.02,0.07,1.11,1.7,0.68,0.12,0.06,0.0,18.88,15.42,16.21,11.33,17.2,16.27,17.31,9.76,11.54,11.62,13.56,12.41,5.12,2.33,17.04,18.09,14.52,11.68,10.98,10.36,4.98,7.68,21.98,19.29,13.52,7.95,9.63,6.85,5.89,3.51,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 02:00 - 04:00,452.37,0.06,0.51,2.66,2.99,1.21,0.56,2.25,2.63,0.37,0.39,0.02,-,0.33,-,5.61,4.64,-,2.52,5.4,4.65,0.24,0.0,2.4,2.22,0.12,0.0,0.18,0.18,0.16,0.18,0.0,0.0,0.09,0.0,0.63,0.62,0.31,0.28,0.4,0.46,0.03,6.15,4.3,0.24,0.26,0.0,0.0,0.15,0.58,0.71,0.13,0.0,0.01,0.0,2.47,3.28,2.55,2.27,3.31,3.47,0.77,0.91,0.27,0.12,0.25,-,0.35,0.27,0.01,0.02,0.39,0.77,0.07,-,0.0,0.04,1.87,2.4,0.13,-,0.03,0.01,0.09,0.0,0.19,0.0,0.57,0.28,0.28,0.1,0.54,0.49,0.1,0.24,0.06,0.0,0.12,0.06,0.27,0.6,0.26,0.28,5.68,7.0,-,2.63,2.16,0.88,7.49,7.49,4.57,4.67,9.61,7.11,7.3,6.53,6.08,7.9,6.71,7.18,4.74,5.41,5.28,4.52,5.24,5.47,4.76,4.76,0.07,0.7,1.26,0.54,0.06,0.06,0.0,11.42,9.49,9.31,7.49,11.69,10.05,10.0,5.51,7.88,7.59,8.68,7.09,3.15,1.4,9.28,10.27,8.6,7.11,5.98,5.8,3.09,4.76,14.2,12.06,7.89,4.44,6.04,4.87,3.24,1.72,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 04:00 - 06:00,202.56,0.02,0.16,0.86,1.63,0.54,0.3,0.9,1.39,0.14,0.2,0.0,-,0.14,-,2.7,2.15,-,1.04,2.42,2.27,0.13,0.0,1.28,1.13,0.06,0.0,0.11,0.05,0.04,0.1,0.0,0.0,0.01,0.0,0.26,0.21,0.09,0.11,0.21,0.35,0.02,2.84,2.24,0.05,0.12,0.0,0.0,0.09,0.3,0.33,0.05,0.0,0.01,0.0,1.23,1.32,1.22,1.02,1.54,1.54,0.39,0.43,0.1,0.07,0.1,-,0.18,0.15,0.0,0.01,0.25,0.4,0.04,-,0.0,0.02,0.76,1.29,0.07,-,0.02,0.01,0.04,0.0,0.14,0.0,0.24,0.14,0.15,0.03,0.27,0.28,0.04,0.18,0.06,0.0,0.06,0.06,0.11,0.29,0.11,0.17,2.85,3.38,-,1.18,0.79,0.44,3.41,3.41,2.2,2.06,4.12,2.98,3.19,3.0,2.77,3.28,3.0,3.26,1.95,2.09,2.76,2.01,2.38,2.32,2.35,2.24,0.03,0.32,0.8,0.36,0.06,0.04,0.0,4.62,4.47,4.1,3.88,5.4,4.52,4.33,2.6,3.85,3.68,3.79,3.42,1.44,0.64,3.75,3.86,3.43,2.85,2.18,2.32,1.12,2.01,6.3,5.75,3.01,2.07,2.38,2.16,1.28,0.74,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 06:00 - 08:00,338.33,0.04,0.31,1.7,2.59,0.93,0.48,1.65,2.15,0.22,0.38,0.01,-,0.22,-,3.95,3.34,-,2.12,3.31,3.28,0.14,0.0,1.65,1.7,0.05,0.0,0.13,0.11,0.23,0.09,0.0,0.0,0.09,0.0,0.58,0.53,0.32,0.31,0.24,0.31,0.03,3.41,2.42,0.11,0.14,0.0,0.0,0.18,0.4,0.54,0.1,0.0,0.04,0.0,1.97,2.48,2.15,1.83,2.21,2.16,0.82,0.91,0.22,0.08,0.29,-,0.31,0.24,0.0,0.05,0.32,0.65,0.07,-,0.0,0.04,1.13,1.6,0.09,-,0.03,0.01,0.07,0.0,0.23,0.0,0.5,0.45,0.22,0.08,0.65,0.55,0.13,0.21,0.1,0.0,0.11,0.05,0.31,0.67,0.23,0.27,7.29,8.45,-,2.78,1.99,0.93,8.78,8.78,4.74,4.61,7.87,6.95,6.25,5.47,4.71,6.88,7.09,6.72,4.5,4.96,2.49,2.91,2.97,3.36,2.58,2.23,0.02,0.33,0.77,0.25,0.13,0.03,0.0,7.37,5.77,6.2,3.83,5.99,5.88,7.02,3.65,4.72,4.59,5.43,4.92,1.93,0.78,7.6,7.91,6.7,5.2,4.91,4.82,2.3,3.66,7.71,6.38,5.7,3.58,3.94,2.7,2.53,1.76,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 08:00 - 10:00,531.83,0.06,0.53,2.84,3.63,1.53,0.82,2.53,3.01,0.4,0.58,0.02,-,0.51,-,6.54,5.14,-,3.41,5.71,5.3,0.2,0.0,2.61,2.89,0.07,0.0,0.22,0.27,0.28,0.18,0.0,0.0,0.11,0.0,0.88,0.91,0.53,0.54,0.43,0.49,0.07,5.8,4.15,0.2,0.25,0.0,0.0,0.31,0.69,0.77,0.17,0.0,0.04,0.0,3.04,3.86,3.29,2.8,3.8,4.01,0.96,1.46,0.42,0.12,0.41,-,0.41,0.36,0.05,0.05,0.56,0.92,0.19,-,0.0,0.07,1.86,2.43,0.19,-,0.03,0.03,0.11,0.0,0.33,0.0,0.66,0.51,0.38,0.14,0.92,0.87,0.22,0.27,0.1,0.0,0.15,0.13,0.4,0.92,0.35,0.4,9.52,11.28,-,3.78,2.82,1.32,11.23,11.23,6.26,6.11,11.87,9.6,9.11,7.95,7.3,9.86,9.33,9.44,6.18,6.69,3.99,5.06,4.85,5.14,4.68,4.43,0.07,0.59,1.06,0.43,0.13,0.05,0.0,13.52,10.57,11.92,7.41,11.2,10.78,12.49,6.48,6.43,6.74,9.26,8.72,3.17,1.44,11.93,12.06,9.99,8.3,7.59,6.54,3.63,5.27,14.35,12.17,10.21,5.94,6.51,4.34,4.62,3.07,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 10:00 - 12:00,636.96,0.09,0.81,3.16,4.71,1.8,0.93,2.83,3.32,0.59,0.81,0.02,-,0.67,-,7.82,6.38,-,4.16,7.15,6.56,0.24,0.0,3.19,3.21,0.11,0.0,0.38,0.31,0.28,0.27,0.0,0.01,0.11,0.0,1.19,1.13,0.59,0.66,0.49,0.64,0.08,6.89,5.13,0.26,0.26,0.0,0.0,0.33,0.78,1.05,0.17,0.0,0.05,0.0,3.3,4.22,3.97,3.29,4.69,5.02,1.05,1.46,0.43,0.15,0.46,-,0.57,0.47,0.06,0.05,0.56,1.1,0.19,-,0.0,0.12,2.02,2.86,0.19,-,0.03,0.03,0.16,0.0,0.33,0.0,0.72,0.58,0.43,0.16,0.92,0.91,0.26,0.35,0.11,0.0,0.19,0.13,0.46,1.09,0.46,0.59,10.29,12.39,-,4.03,3.17,1.6,11.99,11.99,6.68,6.77,13.85,10.61,10.41,8.93,8.35,10.96,10.2,11.51,6.69,7.44,5.1,6.3,5.9,6.23,6.13,5.96,0.07,0.79,1.41,0.58,0.16,0.05,0.0,16.27,13.61,14.89,9.07,14.3,14.22,15.84,8.67,8.0,8.44,12.04,10.94,4.1,1.78,13.65,13.98,11.39,9.19,8.79,7.64,4.42,6.16,19.34,16.11,12.95,7.79,8.41,5.45,5.58,3.62,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 12:00 - 14:00,764.75,0.09,0.87,3.94,5.05,2.25,1.11,3.25,4.13,0.61,0.84,0.02,-,0.76,-,7.82,7.56,-,4.99,7.99,7.8,0.27,0.0,3.59,3.7,0.15,0.0,0.43,0.36,0.3,0.3,0.0,0.01,0.11,0.0,1.22,1.31,0.76,0.72,0.59,0.68,0.08,7.89,6.24,0.26,0.31,0.0,0.0,0.39,0.84,1.05,0.15,0.0,0.05,0.0,3.98,5.24,4.64,4.11,5.64,6.18,1.21,1.68,0.5,0.2,0.57,-,0.75,0.57,0.06,0.05,0.66,1.33,0.2,-,0.0,0.12,2.5,3.49,0.27,-,0.03,0.04,0.2,0.0,0.38,0.0,0.88,0.66,0.48,0.2,1.25,1.04,0.26,0.42,0.11,0.0,0.21,0.1,0.59,1.41,0.47,0.68,11.32,13.93,-,4.85,3.68,1.75,15.47,15.47,8.31,7.6,16.66,13.32,11.81,10.45,10.11,12.94,11.52,12.36,8.29,8.78,6.75,7.73,7.91,7.28,7.39,7.15,0.08,0.84,1.69,0.8,0.16,0.09,0.0,20.14,15.92,17.97,11.67,18.37,17.77,19.75,10.43,9.35,9.56,14.63,13.61,4.98,2.23,17.83,18.03,14.46,11.88,9.95,9.15,5.02,6.99,22.74,19.47,15.36,9.01,9.99,6.89,6.53,4.35,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 14:00 - 16:00,853.45,0.12,0.98,4.65,5.64,2.38,1.26,3.93,4.47,0.75,0.95,0.02,-,0.76,-,-,7.98,-,5.06,7.99,7.8,0.36,0.0,3.84,4.28,0.15,0.0,0.43,0.47,0.34,0.3,0.0,0.01,0.12,0.0,1.35,1.37,0.85,0.82,0.66,0.78,0.07,7.89,6.67,0.35,0.39,0.0,0.0,0.4,1.01,1.25,0.14,0.0,0.05,0.0,4.55,5.93,4.9,4.28,5.87,6.75,1.36,1.9,0.5,0.21,0.62,-,0.75,0.74,0.01,0.06,0.72,1.63,0.2,-,0.0,0.1,2.81,3.75,0.28,-,0.06,0.06,0.21,0.0,0.44,0.0,0.99,0.71,0.57,0.21,1.38,1.22,0.25,0.48,0.13,0.0,0.24,0.14,0.62,1.48,0.55,0.74,14.4,17.05,-,5.59,4.59,2.14,17.84,17.84,9.8,9.5,19.93,15.41,15.02,12.84,11.42,15.15,14.55,15.83,9.8,10.98,7.17,7.73,8.27,8.12,7.98,8.39,0.14,1.01,2.0,0.87,0.14,0.09,0.0,22.26,17.34,19.44,12.8,19.44,18.9,21.11,11.24,11.06,11.22,15.73,14.85,5.45,2.49,20.36,21.05,16.51,13.8,11.96,11.38,6.3,8.74,24.86,20.65,16.17,9.6,10.69,7.28,6.96,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 16:00 - 18:00,843.89,0.13,0.98,4.65,6.04,2.51,1.31,4.08,4.47,0.75,0.96,0.02,-,0.72,-,-,7.98,-,5.08,-,-,0.36,0.0,3.84,4.28,0.16,0.0,0.42,0.47,0.34,0.3,0.0,0.01,0.12,0.0,1.35,1.37,0.85,0.82,0.66,0.78,0.08,-,6.67,0.35,0.39,0.0,0.0,0.44,1.01,1.25,0.14,0.0,0.05,0.0,4.97,6.34,4.9,4.55,5.87,6.75,1.45,1.9,0.54,0.22,0.62,-,0.74,0.74,0.01,0.06,0.85,1.66,0.18,-,0.0,0.1,2.82,3.75,0.28,-,0.06,0.06,0.21,0.0,0.44,0.0,0.99,0.8,0.57,0.21,1.46,1.39,0.33,0.51,0.13,0.0,0.24,0.14,0.62,1.48,0.57,0.74,14.4,17.14,-,5.75,4.78,2.14,18.91,18.91,9.95,10.22,19.93,15.77,15.14,13.3,12.07,15.55,15.1,16.37,10.11,11.51,7.53,7.73,8.27,8.12,7.98,8.39,0.14,1.01,2.0,0.87,0.13,0.06,0.0,22.26,17.4,19.44,12.8,19.44,18.9,21.11,11.24,11.38,11.59,15.73,14.85,5.57,2.52,20.36,21.36,17.46,13.8,12.48,11.75,6.3,8.99,24.93,21.01,16.17,9.6,10.69,7.34,6.96,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-04-01 18:00 - 20:00,844.98,0.13,0.93,4.6,6.04,2.51,1.35,4.08,4.37,0.71,0.96,0.02,-,0.74,-,-,7.98,-,5.33,-,7.97,0.32,0.0,3.88,4.07,0.16,0.0,0.42,0.38,0.31,0.26,0.0,0.01,0.12,0.0,1.32,1.33,0.82,0.79,0.7,0.76,0.09,-,6.52,0.34,0.42,0.0,0.0,0.47,1.01,1.21,0.21,0.0,0.05,0.0,4.97,6.34,4.89,4.55,5.85,6.63,1.45,1.87,0.54,0.22,0.65,-,0.79,0.67,0.01,0.05,0.85,1.66,0.16,-,0.0,0.1,2.88,3.66,0.27,-,0.04,0.05,0.17,0.0,0.45,0.0,0.98,0.8,0.67,0.23,1.46,1.39,0.34,0.55,0.12,0.0,0.24,0.11,0.6,1.41,0.61,0.74,14.24,17.14,-,5.75,4.78,2.14,18.91,18.91,10.04,10.22,19.69,15.77,15.14,13.3,12.07,15.55,15.1,16.37,10.11,11.51,7.53,7.47,8.18,8.08,7.83,8.14,0.1,1.0,1.84,0.85,0.16,0.06,0.0,21.19,17.4,19.05,12.69,19.35,18.51,20.57,11.17,11.38,11.59,15.56,14.39,5.57,2.52,19.96,21.36,17.46,13.77,12.48,11.75,6.15,8.99,24.93,21.01,15.89,9.52,10.54,7.34,6.78,4.38,-,-,-,-,-,-,-,-,-,-,-,-,-
