Fecha,Total,Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routertena),Vlan200(routertena),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routeresmeraldas),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan1001(routeruiom),Vlan2001(routeruiom),Vlan100(routermacas),Vlan200(routermacas),Vlan2001(routeruioa),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routeralausi),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routercuenca),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan200(routercuenca),Vlan100(routerriobamba),Vlan200(routerriobamba),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan1001(routeruiob),Vlan2001(routeruiob),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routermanta),Vlan200(routermanta),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiod),Vlan1001(routergyem),Vlan2001(routergyem),Vlan1002(routergyem),Vlan2002(routergyem),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan2004(routeruios),Vlan1003(routeruios),Vlan1004(routeruios),Vlan1002(routergyei),Vlan2002(routergyei),Vlan1001(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2001(routergyei),Vlan2003(routergyei),Vlan2004(routergyei),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan4001(routergyes),Vlan1002(routergyes),Vlan1001(routergyea),Vlan1002(routergyea),Vlan1003(routergyea),Vlan2001(routergyea),Vlan2002(routergyea),Vlan2003(routergyea),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan2001(routergyek),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruios),Vlan2003(routeruios),Vlan1004(routeruios),Vlan2004(routeruios),Vlan1001(routeruios),Vlan2001(routeruios),Vlan2002(routeruiod),Vlan1001(routeruiod),Vlan1003(routeruiod),Vlan1002(routeruiod),Vlan2003(routeruiod),Vlan556(routeruiog),Vlan1001(routeruioa),Vlan558(routeruiom),Vlan200(routeresmeraldas),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1001(routergyea),Vlan1002(routergyea)
2019-08-01 00:00 - 02:00,515.3,0.05,0.0,0.28,-,2.55,2.98,0.26,0.24,0.39,0.41,0.12,0.09,0.0,-,0.86,1.18,0.52,0,3.31,3.44,3.63,4.03,0.0,0.0,4.78,5.82,1.77,0.19,2.55,7.11,7.56,0.0,0.0,7.9,2.92,2.45,0.99,0.0,4.0,0.25,0.28,0.17,0.47,0.02,0.0,0.35,0.0,2.14,2.1,0.19,0.0,0.41,0.46,0.69,0.21,0.14,0.02,0,3.3,3.26,2.52,0,0.25,2.29,6.5,5.4,0.83,0.91,0.3,0.28,0.13,0.36,0.23,0.28,0.01,0.0,-,0.06,10.45,8.16,0.04,1.11,0.16,0.0,0.68,0.66,0.03,0.0,5.1,5.16,0.14,-,0.75,-,1.29,0.81,5.66,4.92,0.88,1.01,0.31,0.15,8.94,11.28,7.61,5.92,11.49,5.57,6.68,7.06,3.6,8.15,2.2,3.0,2.9,2.8,5.57,4.43,0.45,0.24,0.87,0.92,0.07,0.04,-,3.5,5.5,8.07,8.28,5.58,3.29,7.25,4.71,11.92,13.39,5.65,4.98,1.11,6.4,5.76,4.14,9.11,11.53,10.87,9.27,10.53,8.17,6.2,8.64,10.98,2.3,2.62,6.57,7.53,1.17,-,-,5.67,4.74,4.52,2.51,-,-,-,0.0,0.0,0.04,0.34,0.0,0.0,-,-,8.81,-,8.17,-,8.36,-,1.88,-,-,-,-,8.34
2019-08-01 02:00 - 04:00,229.36,0.01,0.0,0.11,-,1.16,1.47,0.17,0.16,0.15,0.2,0.07,0.03,0.0,-,0.35,0.31,0.26,0,1.36,1.57,1.41,1.54,0.0,0.0,2.21,3.09,0.89,0.52,0.98,3.23,3.47,0.0,0.0,3.36,1.19,0.98,0.42,0.0,1.6,0.11,0.11,0.05,0.24,0.0,0.0,0.16,0.0,0.83,0.92,0.09,0.0,0.13,0.21,0.4,0.08,0.09,0.01,0,1.46,1.29,1.2,0,0.12,1.06,2.98,2.67,0.36,0.37,0.17,0.19,0.03,0.14,0.09,0.15,0.04,0.0,-,0.04,4.26,3.54,0.02,0.45,0.07,0.0,0.36,0.2,0.05,0.0,2.42,2.7,0.02,-,0.26,-,0.33,0.26,2.43,2.38,0.38,0.49,0.16,0.06,3.83,4.9,3.18,2.32,4.36,2.21,2.81,2.99,1.2,2.89,1.0,1.2,0.9,1.0,2.73,1.94,0.27,0.19,0.4,0.5,0.04,0.03,-,1.5,2.5,3.19,3.35,2.36,1.29,2.87,2.15,5.48,6.43,2.06,2.29,0.38,2.5,2.54,1.58,4.56,5.41,4.83,4.79,5.54,3.65,3.19,4.03,4.79,2.57,1.08,3.06,3.35,0.45,-,-,3.1,2.49,2.6,1.26,-,-,-,0.0,0.0,0.01,0.1,0.0,0.0,-,-,3.37,-,3.67,-,3.44,-,0.99,-,-,-,-,3.5
2019-08-01 04:00 - 06:00,174.93,0.02,0.0,0.17,-,0.86,1.07,0.13,0.09,0.21,0.13,0.05,0.07,0.0,-,0.39,0.28,0.26,0,1.05,1.03,1.35,1.74,0.0,0.0,2.14,2.47,0.61,1.27,1.04,2.21,2.52,0.0,0.0,2.9,1.15,0.82,0.43,0.0,1.36,0.11,0.15,0.09,0.19,0.01,0.0,0.15,0.0,0.96,0.87,0.08,0.0,0.23,0.18,0.31,0.1,0.07,0.04,0,1.28,1.21,0.79,0,0.18,0.88,2.23,1.85,0.42,0.39,0.13,0.12,0.07,0.11,0.03,0.15,0.04,0.0,-,0.01,3.81,2.98,0.02,0.55,0.1,0.0,0.29,0.22,0.05,0.0,1.62,1.73,0.1,-,0.38,-,0.52,0.3,2.33,2.26,0.36,0.41,0.12,0.04,3.08,3.77,2.37,2.15,3.86,1.27,1.47,1.3,1.0,2.58,0.5,0.6,0.7,0.6,1.8,1.3,0.25,0.12,0.29,0.33,0.04,0.01,-,1.2,2.5,2.64,2.86,1.86,0.92,2.43,1.79,3.9,4.26,1.68,1.59,0.33,1.91,2.05,1.19,2.91,3.11,2.99,2.71,3.27,2.17,1.7,2.34,4.55,1.46,1.05,2.92,2.43,0.49,-,-,1.89,1.6,1.7,0.83,-,-,-,0.0,0.0,0.04,0.18,0.0,0.0,-,-,2.93,-,2.56,-,3.12,-,0.58,-,-,-,-,2.63
2019-08-01 06:00 - 08:00,293.49,0.05,0.0,0.23,-,1.81,2.07,0.29,0.53,0.27,0.27,0.11,0.08,0.0,-,0.65,0.61,0.35,0,2.14,1.95,1.91,2.33,0.0,0.0,2.58,3.15,0.99,1.27,1.54,4.39,5.15,0.0,0.0,5.34,1.83,1.54,1.0,0.0,4.77,0.2,0.23,0.09,0.2,0.02,0.0,0.21,0.0,1.26,1.22,0.14,0.0,0.29,0.35,0.56,0.12,0.15,0.04,0,1.63,1.7,1.46,0,0.25,1.38,4.07,3.4,0.52,0.49,0.15,0.19,0.09,0.19,0.12,0.23,0.0,0.0,-,0.03,6.66,4.92,0.06,0.99,0.14,0.0,0.49,0.42,0.06,0.0,2.68,2.63,0.1,-,0.54,-,0.63,0.5,3.09,2.77,0.64,0.74,0.24,0.08,6.63,6.72,4.75,3.59,6.76,3.72,4.27,4.14,2.4,4.76,1.2,1.6,1.3,1.4,2.55,1.97,0.44,0.29,0.45,0.5,0.11,0.03,-,2.6,3.0,4.89,4.87,3.22,2.13,4.03,2.95,5.7,5.91,2.88,2.37,0.57,3.43,2.73,2.38,4.15,5.13,5.18,3.86,4.43,3.4,2.81,4.01,4.58,4.68,1.11,3.01,3.56,0.5,-,-,2.95,2.24,2.77,1.25,-,-,-,0.0,0.0,0.15,0.45,0.0,0.0,-,-,5.36,-,4.71,-,5.28,-,0.9,-,-,-,-,3.97
2019-08-01 08:00 - 10:00,387.2,0.05,0.0,0.27,-,2.25,2.47,0.35,0.53,0.3,0.34,0.11,0.08,0.0,-,0.88,0.85,0.51,0,2.68,2.5,2.33,2.7,0.0,0.0,3.07,3.85,1.26,-,1.78,5.47,6.83,0.0,0.0,6.19,2.1,1.71,1.13,0.0,6.48,0.25,0.28,0.11,0.29,0.03,0.0,0.3,0.0,1.52,1.41,0.17,0.0,0.38,0.5,0.69,0.14,0.17,0.03,0,2.05,2.24,1.99,0,0.37,1.8,5.35,4.35,0.59,0.61,0.26,0.29,0.16,0.23,0.27,0.28,0.01,0.0,-,0.04,7.63,5.89,0.06,1.16,0.19,0.0,0.7,0.5,0.06,0.0,3.3,3.25,0.08,-,0.62,-,0.8,0.63,3.76,3.15,0.79,0.96,0.28,0.1,8.77,14.57,5.52,4.35,8.25,4.89,6.44,6.02,4.1,5.58,1.9,3.0,2.2,2.1,3.44,2.86,0.69,0.51,0.6,0.6,0.19,0.06,-,4.8,6.2,5.79,6.15,4.1,2.55,5.06,3.73,7.01,7.53,3.89,3.08,0.75,4.71,3.5,3.09,6.23,7.31,7.08,5.35,6.1,4.81,4.0,5.46,4.9,7.24,1.28,3.01,4.75,0.52,-,-,4.33,2.78,3.69,1.57,-,-,-,0.0,0.0,0.25,0.48,0.0,0.0,-,-,6.73,-,5.81,-,6.46,-,1.48,-,-,-,-,5.29
2019-08-01 10:00 - 12:00,411.51,0.04,0.0,0.27,-,2.3,2.64,0.35,0.41,0.33,0.41,0.1,0.08,0.0,-,0.89,0.9,0.51,0,2.68,2.5,2.57,3.01,0.0,0.0,3.55,4.53,1.46,-,1.91,5.49,7.07,0.0,0.0,6.32,2.11,1.71,1.13,0.0,6.81,0.31,0.35,0.14,0.3,0.03,0.0,0.32,0.0,1.62,1.54,0.2,0.0,0.39,0.5,0.69,0.23,0.19,0.05,0,2.18,2.43,2.05,0,0.4,1.87,5.5,4.67,0.74,0.7,0.26,0.29,0.17,0.23,0.27,0.28,0.03,0.0,-,0.07,7.68,5.93,0.05,1.21,0.19,0.0,0.7,0.5,0.07,0.0,3.58,3.5,0.09,-,0.62,-,1.14,0.65,4.09,3.89,0.83,0.96,0.28,0.1,8.91,14.57,5.53,4.35,8.59,5.27,6.78,6.4,4.6,5.8,2.5,3.7,2.6,2.8,3.96,2.95,0.79,0.51,0.6,0.67,0.21,0.06,-,6.5,7.5,6.38,6.49,4.18,2.62,5.13,3.73,7.48,8.18,3.94,3.08,0.87,4.91,3.7,3.32,6.39,7.52,7.17,5.7,6.49,4.93,4.38,5.74,5.38,8.5,1.36,3.23,5.01,0.65,-,-,4.56,2.9,3.84,1.62,-,-,-,0.0,0.0,0.25,0.48,0.0,0.0,-,-,6.73,-,5.98,-,6.46,-,1.6,-,-,-,-,5.71
2019-08-01 12:00 - 14:00,473.58,0.05,0.0,0.36,-,2.41,2.95,0.27,0.4,0.36,0.41,0.15,0.13,0.0,-,1.0,0.9,0.57,0,2.82,2.66,4.05,4.08,0.0,0.0,5.14,6.12,1.73,-,2.72,6.05,7.33,0.0,0.0,6.6,2.11,1.9,1.08,0.0,6.46,0.32,0.42,0.17,0.39,0.04,0.0,0.42,0.0,2.34,2.17,0.23,0.0,0.58,0.48,0.83,0.23,0.25,0.1,0,3.24,3.32,2.19,0,0.4,1.9,6.59,5.17,0.89,0.88,0.26,0.32,0.19,0.33,0.15,0.26,0.03,0.01,-,0.07,8.47,6.23,0.05,1.42,0.19,0.0,0.65,0.55,0.07,0.0,5.03,4.97,0.13,-,0.79,-,1.34,0.85,5.78,4.97,0.85,0.99,0.3,0.12,9.54,11.95,5.66,4.5,9.22,5.13,7.01,6.66,5.0,6.21,2.8,4.0,3.3,3.1,5.41,4.34,0.79,0.63,0.84,0.84,0.21,0.06,-,7.0,8.1,6.82,7.07,4.68,2.62,5.49,4.14,10.63,11.59,5.42,4.1,1.15,6.52,4.84,4.15,6.83,7.82,7.85,6.11,6.75,5.43,4.63,5.99,6.72,9.94,1.98,3.92,7.52,0.98,-,-,5.64,4.24,4.82,2.18,-,-,-,0.0,0.0,0.17,0.51,0.0,0.0,-,-,6.94,-,6.27,-,6.69,-,1.84,-,-,-,-,8.38
2019-08-01 14:00 - 16:00,492.63,0.05,0.0,0.36,-,2.41,3.03,0.24,0.4,0.36,0.41,0.15,0.14,0.0,-,1.0,0.86,0.57,0,2.82,2.66,4.05,4.08,0.0,0.0,5.14,6.12,1.74,-,2.72,6.21,7.95,0.0,0.0,6.78,2.3,2.08,1.21,0.0,7.61,0.32,0.42,0.18,0.43,0.04,0.0,0.45,0.0,2.34,2.29,0.24,0.0,0.58,0.48,0.83,0.27,0.25,0.1,0,3.24,3.33,2.19,0,0.32,1.9,6.59,5.17,0.91,0.91,0.27,0.32,0.19,0.33,0.17,0.26,0.03,0.01,-,0.06,8.47,6.4,0.06,1.43,0.2,0.0,0.7,0.55,0.08,0.0,5.26,5.15,0.13,0,0.89,-,1.37,0.85,5.78,4.98,0.86,1.0,0.33,0.13,9.99,9.88,6.11,4.51,9.33,5.54,7.31,7.17,5.5,6.39,3.3,4.2,4.0,4.0,5.58,4.34,0.86,0.66,0.88,0.86,0.2,0.06,-,7.2,9.6,7.33,7.37,4.77,2.87,5.88,4.14,11.18,11.77,5.53,4.53,1.16,6.78,5.38,4.17,6.83,7.82,7.85,6.11,6.75,5.43,4.63,5.99,9.35,9.71,2.32,5.36,7.63,1.17,-,-,5.76,4.34,4.87,2.47,-,-,-,0.0,0.0,0.13,0.53,0.0,0.0,-,-,7.37,-,6.36,-,7.07,-,1.88,-,-,-,-,8.61
2019-08-01 16:00 - 18:00,507.11,0.05,0.0,0.35,-,2.4,3.03,0.22,0.36,0.33,0.41,0.17,0.14,0.0,-,0.95,0.86,0.57,0,2.84,2.65,3.97,4.34,0.0,0.0,4.93,5.86,1.81,-,2.62,6.21,7.95,0.0,0.0,7.09,2.5,2.08,1.35,0.0,8.05,0.34,0.41,0.18,0.51,0.05,0.0,0.45,0.0,2.33,2.29,0.29,0.0,0.57,0.54,0.82,0.27,0.22,0.08,0,3.21,3.35,2.34,0,0.32,1.96,5.98,4.93,0.91,0.93,0.27,0.3,0.16,0.3,0.2,0.24,0.02,0.0,-,0.04,8.89,7.17,0.08,1.46,0.21,0.0,0.7,0.59,0.09,0.0,5.26,5.27,0.13,0,0.89,-,1.4,0.79,5.58,4.98,0.87,1.03,0.33,0.13,9.99,9.88,6.6,4.89,9.97,6.37,7.89,7.69,6.2,6.9,3.4,5.5,4.6,5.0,5.58,4.25,0.86,0.66,0.88,0.86,0.19,0.06,-,8.0,11.0,7.69,7.81,4.88,3.07,6.71,4.64,11.27,12.02,5.53,4.59,1.16,6.78,5.38,4.4,6.78,7.82,7.65,6.1,6.81,5.38,4.51,6.19,9.35,9.63,2.32,5.46,7.63,1.21,-,-,5.76,4.34,4.87,2.47,-,-,-,0.0,0.0,0.13,0.53,0.0,0.0,-,-,7.7,-,6.47,-,7.13,-,1.89,-,-,-,-,8.61
2019-08-01 18:00 - 20:00,562.46,0.07,0.0,0.36,-,2.61,3.37,0.26,0.36,0.44,0.48,0.17,0.16,0.0,-,0.95,0.79,0.64,0,3.15,2.89,4.28,4.84,0.0,0.0,5.28,6.49,1.9,-,3.0,7.07,7.81,0.0,0.0,8.62,3.31,2.7,1.4,0.0,8.49,0.36,0.46,0.2,0.59,0.05,0.0,0.45,0.0,2.32,2.47,0.3,0.0,0.57,0.54,0.74,0.3,0.23,0.05,0,3.37,3.72,2.6,0,0.29,2.38,6.45,5.38,0.95,1.0,0.27,0.3,0.16,0.39,0.2,0.32,0.01,0.0,-,0.06,10.56,7.89,0.08,1.46,0.23,0.0,0.83,0.73,0.09,0.0,6.06,5.99,0.17,-,0.91,-,1.48,0.93,6.65,5.44,0.99,1.05,0.38,0.14,9.46,11.72,7.34,5.71,11.6,7.83,9.04,8.85,7.8,8.1,3.8,6.0,4.8,5.1,5.67,4.4,0.77,0.59,0.84,0.97,0.14,0.06,-,9.2,12.5,9.01,9.04,5.83,3.33,8.06,5.31,13.3,13.64,6.68,5.19,1.33,7.92,6.09,5.26,6.75,7.83,7.68,6.04,6.99,5.66,4.51,6.43,9.92,9.61,2.8,6.46,8.6,1.42,-,-,5.47,4.78,4.53,2.52,-,-,-,0.0,0.0,0.09,0.48,0.0,0.0,-,-,8.99,-,7.79,-,9.04,-,1.94,-,-,-,-,9.85
