Fecha,Total,Vlan100(routermacas),Vlan200(routermacas),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routeralausi),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routertena),Vlan200(routertena),Vlan100(routermontecristi),Vlan200(routermontecristi),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routeresmeraldas),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routeresmeraldas2),Vlan200(routeresmeraldas2),Vlan100(routerpedernales),Vlan100(routervinces),Vlan200(routerpedernales),Vlan200(routervinces),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routermanta),Vlan200(routermanta),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan1002(routergyei),Vlan2002(routergyei),Vlan1001(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2001(routergyei),Vlan2003(routergyei),Vlan2004(routergyei),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan1001(routeruiob),Vlan2001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan1001(routergyem),Vlan2001(routergyem),Vlan1002(routergyem),Vlan2002(routergyem),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan1001(routeruiom),Vlan2001(routeruiom),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyea),Vlan1002(routergyea),Vlan1003(routergyea),Vlan2001(routergyea),Vlan2002(routergyea),Vlan2003(routergyea),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan2001(routergyek),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan2004(routeruios),Vlan1003(routeruios),Vlan1004(routeruios)
2019-12-01 00:00 - 02:00,559.47,0,0.0,3.13,2.66,0.22,0.22,0.23,0.4,0.41,0.1,0.0,4.07,3.54,0.02,0.57,6.08,5.8,0.11,0,0.7,0.69,0.35,0.12,0.08,-,0.3,0.29,2.69,3.23,2.28,2.73,1.51,1.08,-,4.89,0.67,0.36,0.06,6.52,5.31,0.0,0.0,0.7,0.69,0.16,0.12,0.49,0.0,0.67,0.0,0.02,-,0.32,0,0.07,0.01,3.12,3.43,0.09,-,0.51,0.44,0.08,1.09,0.17,0.0,0.2,0.57,0.84,0.84,1.89,2.12,0.0,0.38,0.01,0.31,0.08,0.0,0.89,-,7.37,4.72,3.23,2.85,0.27,0.27,0.01,0.01,0.02,0.02,0.75,0.93,0.67,0.58,0.29,0.24,0.24,0.0,0.34,0.12,0.05,0.0,16.58,12.95,7.49,5.26,1.4,8.06,7.28,5.32,11.42,14.05,13.8,8.32,12.06,11.64,10.25,9.04,11.39,9.08,-,3.01,2.68,0.99,9.7,8.15,4.47,6.68,6.17,6.46,11.86,-,7.47,9.72,9.01,7.77,6.84,7.57,9.23,11.86,7.77,6.08,10.84,11.68,3.2,6.51,8.32,1.51,-,-,5.26,5.69,4.27,2.73,4.82,5.84,0.52,0.55,0.94,0.96,0.09,0.04,0.0,9.14,12.06,8.69,8.24,5.16,3.35,7.21,5.23
2019-12-01 02:00 - 04:00,310.57,0,0.0,1.63,1.57,0.13,0.09,0.1,0.16,0.22,0.04,0.0,2.17,1.83,0.01,0.26,3.62,3.46,0.04,0,0.33,0.35,0.22,0.12,0.03,-,0.11,0.14,1.25,1.58,1.35,1.41,0.63,0.67,-,2.62,0.3,0.17,0.03,3.86,2.87,0.0,0.0,0.34,0.34,0.07,0.06,0.31,0.0,0.43,0.0,0.01,-,0.12,0,0.02,0.01,1.52,1.63,0.04,-,0.24,0.21,0.04,0.56,0.04,0.0,0.11,0.34,0.45,0.47,1.19,1.31,0.0,0.22,0.0,0.18,0.06,0.0,0.45,-,4.14,2.8,1.74,1.35,0.07,0.11,0.01,0.0,0.0,0.01,0.32,0.48,0.49,0.23,0.2,0.11,0.12,0.0,0.18,0.06,0.04,0.0,9.91,7.77,3.97,3.24,0.7,4.32,3.85,2.47,6.43,10.4,7.57,5.31,6.52,7.15,6.1,6.65,5.11,4.11,-,1.34,1.47,0.35,4.59,4.06,2.5,3.91,3.44,5.48,5.49,-,3.34,4.67,4.4,3.99,3.71,3.97,4.94,6.67,3.74,3.45,6.31,6.37,1.84,6.42,4.46,1.02,-,-,3.81,3.61,3.22,1.73,3.34,3.43,0.33,0.38,0.61,0.72,0.07,0.02,0.0,3.93,6.01,4.14,3.66,2.74,1.47,3.09,2.31
2019-12-01 04:00 - 06:00,156.6,0,0.0,0.86,0.71,0.1,0.04,0.06,0.13,0.14,0.03,0.0,0.94,0.73,0.01,0.21,1.73,1.69,0.05,0,0.2,0.17,0.16,0.08,0.02,-,0.08,0.11,0.81,0.81,0.65,0.63,0.33,0.27,-,1.23,0.19,0.1,0.01,1.69,1.17,0.01,0.0,0.16,0.17,0.03,0.03,0.12,0.0,0.2,0.0,0.0,-,0.15,-,0.02,0.01,0.81,0.81,0.04,-,0.17,0.14,0.04,0.45,0.03,0.0,0.06,0.12,0.31,0.2,0.59,0.64,0.0,0.08,0.0,0.12,0.01,0.0,0.22,-,1.69,1.23,0.85,0.75,0.07,0.13,0.01,0.0,0.0,0.01,0.28,0.46,0.31,0.3,0.1,0.06,0.08,0.0,0.13,0.03,0.04,0.0,3.94,2.78,1.66,1.54,0.39,1.93,1.52,1.35,2.67,3.61,3.04,2.51,2.73,2.78,2.19,1.75,3.54,2.46,-,0.95,0.86,0.45,3.36,2.59,1.36,1.59,1.69,1.78,3.28,2.71,2.46,2.78,2.52,2.17,1.86,2.16,2.63,3.54,1.9,1.8,3.19,2.9,0.85,2.23,1.89,0.46,-,-,1.97,1.68,1.59,0.83,1.45,1.48,0.13,0.14,0.31,0.36,0.07,0.01,0.0,3.02,3.92,2.51,2.87,1.61,1.05,2.18,1.77
2019-12-01 06:00 - 08:00,348.88,0,0.0,2.1,1.5,0.22,0.15,0.18,0.32,0.35,0.05,0.0,2.34,2.02,0.01,0.29,1.67,2.15,0.07,0,0.52,0.44,0.22,0.09,0.04,-,0.24,0.28,1.81,2.42,1.31,1.69,0.78,0.62,-,3.33,0.48,0.23,0.03,3.47,3.25,0.01,0.0,0.47,0.49,0.1,0.09,0.28,0.0,0.54,0.0,0.01,-,0.25,-,0.04,0.01,2.18,2.15,0.09,-,0.41,0.34,0.1,0.93,0.08,0.0,0.09,0.31,0.68,0.66,1.09,1.24,0.0,0.26,0.01,0.28,0.05,0.0,0.59,-,4.89,3.11,1.98,2.03,0.12,0.26,0.01,0.01,0.01,0.01,0.58,0.82,0.62,0.49,0.21,0.16,0.24,0.0,0.23,0.09,0.07,0.0,9.23,7.23,4.92,2.78,0.86,5.16,4.02,3.37,6.91,7.27,8.28,4.52,6.48,6.52,5.43,4.74,8.19,5.82,-,2.29,1.94,1.0,6.8,5.42,2.28,3.62,3.7,3.34,7.83,5.95,5.27,6.14,5.86,5.14,4.35,4.64,5.65,7.58,4.39,4.4,6.43,6.62,1.95,3.61,4.86,0.89,-,-,3.18,2.71,2.26,1.2,2.71,3.11,0.25,0.26,0.43,0.61,0.05,0.01,0.0,6.43,9.26,5.51,6.36,4.07,2.49,4.89,3.58
2019-12-01 08:00 - 10:00,454.32,0,0.0,2.38,1.92,0.23,0.22,0.2,0.34,0.35,0.06,0.0,3.26,2.79,0.03,0.48,4.09,4.5,0.08,0,0.64,0.52,0.4,0.12,0.06,-,0.31,0.36,2.14,2.86,1.31,2.92,1.13,0.99,-,3.99,0.57,0.34,0.03,5.06,4.22,0.01,0.0,0.63,0.6,0.14,0.12,0.44,0.0,0.72,0.0,0.02,-,0.33,-,0.04,0.01,2.65,2.62,0.13,-,0.5,0.39,0.1,1.2,0.16,0.0,0.15,0.41,0.84,0.81,1.68,1.79,0.0,0.39,0.01,0.36,0.09,0.0,0.8,-,6.09,3.71,2.77,2.68,0.13,0.26,0.01,0.03,0.01,0.01,0.73,0.89,0.7,0.56,0.26,0.2,0.32,0.0,0.33,0.18,0.08,0.0,13.37,10.04,6.59,3.97,1.17,6.94,5.52,4.69,9.74,10.98,10.98,6.48,8.91,9.15,8.11,6.56,9.14,6.93,-,2.55,2.1,1.2,7.41,5.92,3.27,5.2,4.9,4.82,9.72,6.86,6.14,7.39,7.32,6.13,5.21,5.39,6.96,8.96,5.54,5.17,8.58,9.14,2.54,4.58,6.55,1.19,-,-,4.42,4.11,3.54,1.93,4.28,4.12,0.38,0.36,0.55,0.75,0.11,0.02,0.0,8.0,10.52,7.11,7.21,4.65,2.81,5.98,4.3
2019-12-01 10:00 - 12:00,498.26,0,0.0,2.55,2.13,0.23,0.31,0.26,0.38,0.39,0.06,0.0,3.81,3.29,0.03,0.58,5.28,5.16,0.11,0,0.64,0.52,0.4,0.12,0.1,-,0.31,0.37,2.45,3.28,2.04,3.22,1.47,1.03,-,4.16,0.58,0.34,0.03,5.87,4.59,0.01,0.0,0.73,0.66,0.17,0.13,0.48,0.0,0.79,0.0,0.02,-,0.37,-,0.04,0.02,2.83,2.75,0.21,-,0.5,0.41,0.1,1.34,0.16,0.0,0.18,0.52,0.88,1.0,1.79,1.91,0.0,0.42,0.02,0.4,0.11,0.0,0.91,-,6.57,4.13,3.02,2.98,0.16,0.3,0.02,0.03,0.01,0.02,0.75,0.95,0.76,0.64,0.26,0.23,0.33,0.0,0.37,0.18,0.08,0.0,15.06,11.36,7.02,4.35,1.36,7.46,6.29,5.11,10.91,12.17,13.08,7.44,10.63,10.55,9.28,7.68,9.95,7.45,-,2.57,2.16,1.24,7.78,6.45,3.37,5.72,5.09,5.15,9.95,6.86,6.39,7.64,7.65,6.65,5.42,6.02,7.33,9.54,5.58,5.2,9.3,10.45,2.72,5.65,7.33,1.34,-,-,5.08,4.32,3.72,2.25,4.77,5.17,0.43,0.42,0.76,0.9,0.18,0.05,0.0,8.33,10.68,7.11,7.32,5.09,3.19,6.11,4.45
2019-12-01 12:00 - 14:00,529.89,0,0.0,2.55,2.13,0.29,0.32,0.28,0.38,0.43,0.07,0.0,3.93,3.37,0.03,0.64,6.03,5.42,0.12,0,0.67,0.56,0.45,0.09,0.1,-,0.32,0.41,2.46,3.4,2.14,3.22,1.54,1.03,-,4.66,0.59,0.37,0.04,6.16,4.82,0.01,0.0,0.84,0.77,0.17,0.13,0.5,0.0,0.79,0.0,0.02,-,0.42,-,0.1,0.02,2.88,2.75,0.21,-,0.48,0.41,0.1,1.36,0.16,0.0,0.18,0.55,0.94,1.02,2.02,2.12,0.0,0.42,0.02,0.4,0.11,0.0,0.98,-,6.76,4.24,3.2,3.0,0.16,0.3,0.02,0.03,0.01,0.02,0.81,0.99,0.83,0.64,0.28,0.33,0.34,0.0,0.42,0.18,0.07,0.0,15.55,12.04,7.45,4.93,1.36,7.78,6.51,5.39,12.16,13.45,13.93,8.22,11.46,12.11,10.73,8.04,10.18,7.45,-,2.74,2.47,1.3,8.17,7.15,3.73,6.14,5.28,5.28,10.28,7.48,6.69,7.64,7.83,6.65,5.55,6.27,7.35,9.54,5.94,5.2,9.3,11.16,3.4,5.66,8.2,1.34,-,-,5.41,5.26,4.11,2.44,4.77,5.38,0.43,0.42,0.78,0.9,0.22,0.05,0.0,9.05,12.6,7.73,8.15,5.51,3.19,6.95,4.8
2019-12-01 14:00 - 16:00,578.67,0,0.0,3.03,2.35,0.29,0.32,0.3,0.38,0.44,0.07,0.0,4.05,3.46,0.03,0.69,6.03,5.73,0.14,0,0.75,0.72,0.54,0.13,0.11,-,0.4,0.45,2.74,3.89,2.41,2.5,1.54,1.06,-,4.66,0.68,0.41,0.04,6.16,4.85,0.01,0.0,0.91,0.83,0.17,0.13,0.57,0.0,0.79,0.0,0.02,-,0.42,-,0.1,0.02,3.23,2.97,0.12,-,0.52,0.5,0.14,1.36,0.18,0.0,0.22,0.56,0.94,1.11,2.03,2.12,0.0,0.42,0.02,0.38,0.09,0.0,0.98,-,6.88,4.41,3.2,3.03,0.15,0.44,0.02,0.02,0.01,0.02,0.84,1.17,0.85,0.72,0.34,0.33,0.36,0.0,0.42,0.15,0.07,0.0,15.66,12.34,7.45,4.93,1.35,8.12,6.59,5.39,12.16,13.45,13.93,8.27,11.46,12.11,10.73,8.04,12.57,9.12,-,3.23,2.96,1.3,10.12,8.32,3.87,6.14,5.58,5.66,12.64,9.36,7.69,9.86,9.58,8.08,7.49,7.99,9.77,11.95,7.41,6.51,10.97,12.53,3.4,5.72,9.05,1.56,-,-,5.41,5.26,4.11,2.64,4.72,5.56,0.5,0.46,0.85,0.99,0.22,0.03,0.0,10.39,13.83,9.47,9.06,6.18,3.54,7.95,5.51
2019-12-01 16:00 - 18:00,606.75,0,0.0,3.13,2.53,0.31,0.29,0.3,0.44,0.45,0.09,0.0,4.05,3.77,0.03,0.69,6.06,5.86,0.14,0,0.8,0.77,0.54,0.19,0.11,-,0.44,0.45,2.74,3.89,2.41,2.56,1.59,1.08,-,4.79,0.69,0.46,0.04,6.47,4.85,0.01,0.0,0.91,0.86,0.21,0.13,0.57,0.0,0.79,0.0,0.02,-,0.42,-,0.09,0.02,3.71,3.35,0.12,0,0.52,0.52,0.14,1.41,0.18,0.0,0.24,0.6,0.93,1.16,2.03,2.15,0.0,0.42,0.02,0.34,0.09,0.0,0.96,-,7.38,4.91,3.25,3.08,0.17,0.44,0.01,0.02,0.01,0.02,0.9,1.18,0.91,0.83,0.34,0.29,0.36,0.0,0.39,0.16,0.07,0.0,15.66,12.71,7.22,4.99,1.4,8.12,6.59,5.38,11.96,13.38,13.9,8.27,11.44,12.01,10.37,8.02,14.0,10.39,-,3.77,3.47,1.33,11.37,9.42,3.87,6.4,5.72,5.66,13.39,10.19,8.77,11.27,10.12,9.03,8.15,8.06,10.67,13.69,8.79,7.3,10.97,12.53,3.38,5.95,9.05,1.56,-,-,5.42,5.67,4.2,2.68,4.87,5.56,0.52,0.46,0.97,0.99,0.17,0.05,0.0,11.55,15.33,10.25,9.88,6.52,3.97,8.55,5.82
2019-12-01 18:00 - 20:00,641.98,0,0.0,3.5,3.03,0.32,0.29,0.3,0.48,0.52,0.09,0.0,4.62,4.06,0.02,0.59,6.41,6.38,0.14,0,0.87,0.84,0.53,0.19,0.11,-,0.44,0.43,3.09,3.84,2.39,2.92,1.67,1.15,-,5.23,0.82,0.46,0.04,6.48,5.06,0.01,0.0,0.94,0.9,0.23,0.14,0.59,0.0,0.85,0.0,0.01,-,0.42,-,0.08,0.04,3.86,3.65,0.15,0,0.68,0.52,0.16,1.56,0.22,0.0,0.25,0.65,1.06,1.18,2.06,2.24,0.0,0.47,0.02,0.44,0.08,0.0,0.96,-,7.93,5.18,3.54,3.66,0.23,0.41,0.01,0.03,0.01,0.02,0.91,1.26,0.91,0.84,0.31,0.29,0.35,0.0,0.45,0.19,0.07,0.0,17.7,13.93,8.15,5.52,1.75,8.78,7.4,5.98,11.86,14.19,14.38,8.58,12.58,11.86,11.07,8.39,14.98,11.6,-,3.99,3.47,1.39,11.5,9.7,4.67,7.18,6.1,5.96,14.71,10.45,9.64,11.51,10.72,9.4,8.71,8.67,12.2,14.45,9.51,7.68,11.78,12.23,3.21,6.91,8.53,1.66,-,-,5.51,6.12,4.2,2.68,5.1,5.66,0.52,0.55,0.97,1.01,0.17,0.05,0.0,11.55,15.87,10.25,10.07,6.72,4.31,8.7,5.99
