Fecha,Total,Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routeresmeraldas),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routermanta),Vlan200(routermanta),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routerpasaje),Vlan200(routerpasaje),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routerriobamba),Vlan200(routerriobamba),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerbalsas),Vlan100(routerqvdo),Vlan200(routerbalsas),Vlan200(routerqvdo),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routeralausi),Vlan200(routeralausi),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routertena),Vlan200(routertena),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routeresmeraldas2),Vlan200(routeresmeraldas2),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan100(routermontecristi),Vlan200(routermontecristi)
2020-06-01 00:00 - 02:00,721.8,0.21,0.21,1.1,1.91,0.68,0.65,0.0,0.0,3.31,3.83,0.1,0.6,-,0.28,0.66,1.27,1.14,0.96,1.12,3.91,3.32,0.25,0.33,1.37,1.6,4.07,5.68,0.76,0.42,-,4.1,0.89,0.85,0.73,1.22,7.97,7.81,7.85,6.04,0.57,0.54,-,-,0.12,0.0,0.04,0.0,7.84,6.22,0.19,0.45,-,-,0.01,0.01,4.31,5.25,0.31,0.37,0.48,-,0.0,0.0,0.23,0.0,0.08,0.0,0.24,0.0,0.07,4.84,0.0,6.02,0.05,-,3.93,4.75,0.47,0.56,-,-,0.37,0.0,0.72,0.16,0.16,-,0.51,0.88,0.94,1.17,0.01,0.04,0.45,0.0,0.05,0.08,0.7,0.52,0.55,0.26,0.0,0.1,2.44,4.17,17.56,14.0,12.57,11.26,10.45,13.56,12.5,13.63,-,4.89,3.98,1.53,14.22,14.22,15.32,16.05,14.06,11.14,9.73,8.09,4.63,7.0,8.37,8.4,9.6,16.15,9.2,8.15,6.79,6.38,7.4,7.95,10.29,11.77,12.24,10.94,4.67,2.15,20.11,17.0,14.05,6.01,8.73,6.62,5.4,3.37,16.76,14.89,15.3,10.8,14.47,15.04,15.72,10.2,6.84,6.47,0.1,0.95,1.63,0.7,0.07,0.04,0.0,-,-,-,-,-,-,0.23,-
2020-06-01 02:00 - 04:00,369.4,0.11,0.11,0.51,0.93,0.28,0.3,0.0,0.0,1.72,2.16,0.06,0.3,-,0.09,0.27,0.49,0.62,0.46,0.56,1.92,1.64,0.11,0.17,0.57,0.81,2.4,2.71,0.33,0.28,-,1.89,0.49,0.51,0.36,0.65,4.18,3.96,5.01,3.6,0.24,0.23,-,-,0.05,0.0,0.01,0.0,4.81,3.37,0.09,0.21,-,-,0.0,0.0,1.7,2.69,0.12,0.17,0.23,-,0.0,0.0,0.07,0.0,0.05,0.0,0.12,0.0,0.04,2.31,0.0,3.06,0.04,-,1.91,2.66,0.31,0.28,-,-,0.14,0.0,0.38,0.11,0.07,-,0.34,0.52,0.48,0.61,0.01,0.02,0.18,0.0,0.01,0.03,0.34,0.27,0.27,0.12,0.0,0.03,1.4,2.51,8.07,6.55,6.23,5.74,5.19,6.91,5.67,5.99,-,2.44,1.76,0.7,7.03,7.03,7.5,8.09,6.6,5.42,5.07,4.65,2.51,3.58,4.99,4.34,4.72,8.01,4.72,4.0,3.82,3.24,4.1,4.14,5.51,6.32,6.22,6.01,2.61,1.15,10.09,9.52,6.75,2.74,4.69,3.35,2.52,1.38,8.47,7.6,7.01,6.26,8.22,7.56,8.1,5.38,4.17,3.58,0.05,0.55,0.9,0.49,0.06,0.03,0.0,-,-,-,-,-,-,0.12,-
2020-06-01 04:00 - 06:00,175.33,0.05,0.08,0.31,0.49,0.19,0.15,0.0,0.0,0.98,0.95,0.02,0.16,-,0.12,0.19,0.38,0.25,0.24,0.28,1.39,0.98,0.06,0.08,0.58,0.6,1.1,1.21,0.2,0.14,-,1.09,0.19,0.19,0.26,0.38,2.35,1.74,2.07,1.66,0.19,0.2,-,-,0.06,0.0,0.01,0.0,2.06,1.54,0.08,0.12,-,-,0.0,0.0,0.98,1.34,0.1,0.17,0.19,-,0.0,0.0,0.08,0.0,0.02,0.0,0.07,0.0,0.03,1.17,0.0,1.42,0.01,-,0.8,1.07,0.13,0.14,-,-,0.13,0.0,0.16,0.05,0.06,-,0.16,0.33,0.23,0.25,0.0,0.02,0.19,0.0,0.01,0.02,0.19,0.14,0.13,0.06,0.0,0.03,1.04,1.05,3.88,3.09,3.0,2.64,2.44,3.29,2.96,3.52,-,1.17,0.82,0.52,3.74,3.74,3.83,4.18,3.08,2.8,2.25,1.8,1.12,1.74,2.02,1.88,2.09,3.76,2.16,2.05,1.8,1.59,1.66,2.11,2.44,2.53,3.27,2.81,1.11,0.54,4.56,4.04,3.45,1.36,1.84,1.58,1.39,1.08,3.47,3.21,3.34,2.66,3.67,2.99,3.35,2.19,1.92,1.39,0.04,0.27,0.37,0.3,0.03,0.01,0.0,-,-,-,-,-,-,0.05,-
2020-06-01 06:00 - 08:00,420.51,0.15,0.14,0.71,1.32,0.41,0.35,0.0,0.0,1.96,2.15,0.02,0.4,-,0.21,0.44,0.79,0.7,0.7,0.94,3.34,2.62,0.11,0.15,1.4,1.15,2.55,3.45,0.48,0.24,-,2.48,0.6,0.47,0.45,0.79,5.3,4.52,4.63,3.55,0.37,0.47,-,-,0.14,0.0,0.05,0.0,5.4,3.38,0.14,0.27,-,-,0.0,0.0,2.43,3.01,0.23,0.34,0.38,-,0.0,0.0,0.13,0.0,0.06,0.0,0.18,0.0,0.05,3.09,0.0,3.7,0.05,-,2.17,2.52,0.32,0.36,-,-,0.24,0.0,0.41,0.12,0.11,-,0.42,0.71,0.58,0.61,0.01,0.02,0.27,0.0,0.04,0.1,0.52,0.33,0.37,0.17,0.0,0.07,2.5,0.64,10.14,7.83,7.08,6.59,5.94,8.16,7.69,9.11,-,2.99,2.16,1.14,9.1,9.1,8.97,9.98,7.73,6.41,5.55,4.91,2.52,4.1,4.64,5.02,5.41,9.86,5.35,4.81,3.33,3.79,3.76,4.36,5.83,6.68,7.46,6.47,2.53,1.18,10.93,9.04,8.73,3.57,4.69,3.38,3.62,2.34,9.1,8.08,8.26,5.54,7.63,8.07,8.14,5.24,3.71,3.29,0.07,0.66,0.82,0.43,0.13,0.04,0.0,-,-,-,-,-,-,0.15,-
2020-06-01 08:00 - 10:00,547.16,0.21,0.18,0.88,1.7,0.49,0.47,0.0,0.0,2.76,2.73,0.05,0.54,-,0.32,0.61,1.07,0.98,0.92,0.94,4.22,3.26,0.22,0.25,1.4,1.3,3.12,4.35,0.61,0.32,-,3.41,0.91,0.67,0.61,1.01,6.6,5.87,6.09,4.42,0.51,0.51,-,-,0.14,0.0,0.09,0.0,6.93,4.65,0.19,0.39,-,-,0.01,0.01,2.79,4.12,0.27,0.39,0.45,-,0.0,0.0,0.2,0.0,0.08,0.0,0.21,0.0,0.08,3.48,0.0,4.38,0.05,-,2.78,3.24,0.41,0.43,-,-,0.3,0.0,0.54,0.14,0.17,-,0.52,0.91,0.81,1.06,0.02,0.03,0.32,0.0,0.05,0.1,0.62,0.45,0.46,0.22,0.0,0.08,3.81,-,12.71,9.97,9.24,8.21,7.58,10.3,9.08,11.32,-,3.72,2.73,1.44,11.75,11.75,12.4,12.9,10.18,8.59,7.21,6.8,3.32,5.16,6.16,5.99,7.07,12.75,6.88,6.11,4.23,5.01,4.9,5.12,6.83,8.06,9.68,8.71,3.41,1.57,14.53,12.02,11.78,4.63,6.27,4.83,4.95,3.11,12.31,11.08,11.35,7.52,10.31,11.23,11.66,7.39,4.65,4.65,0.09,0.98,1.16,0.5,0.13,0.05,0.0,-,-,-,-,-,-,0.23,-
2020-06-01 10:00 - 12:00,593.98,0.24,0.22,1.06,1.96,0.57,0.55,0.0,0.0,2.9,2.96,0.12,0.54,-,0.33,0.61,1.1,1.07,0.92,0.95,4.31,3.41,0.24,0.32,1.08,1.48,3.19,4.8,0.7,0.42,-,3.48,0.91,0.76,0.69,1.18,6.71,6.16,6.57,4.68,0.55,0.54,-,-,0.14,0.0,0.09,0.0,7.53,4.93,0.26,0.39,-,-,0.01,0.01,3.54,4.91,0.31,0.41,0.48,-,0.0,0.0,0.27,0.0,0.09,0.0,0.25,0.0,0.09,3.91,0.0,4.79,0.06,-,2.97,3.52,0.47,0.48,-,-,0.35,0.0,0.7,0.2,0.17,-,0.56,0.97,0.83,1.06,0.02,0.03,0.42,0.0,0.05,0.08,0.62,0.45,0.49,0.22,0.0,0.09,3.95,3.64,13.73,10.65,9.73,8.95,9.47,11.07,9.42,11.67,-,3.98,2.96,1.44,11.75,11.75,13.26,14.37,11.07,9.44,7.99,7.41,3.96,5.68,6.69,6.67,7.56,12.75,7.37,6.29,4.89,5.49,5.26,5.94,6.98,8.12,10.81,9.35,3.55,1.73,15.88,13.75,12.74,4.98,6.97,5.09,5.23,3.36,13.63,11.32,12.76,8.26,11.48,11.53,12.8,8.17,5.5,4.79,0.1,0.98,1.32,0.54,0.16,0.09,0.0,-,-,-,-,-,-,0.24,-
2020-06-01 12:00 - 14:00,648.29,0.25,0.22,1.06,2.11,0.61,0.58,0.0,0.0,3.25,3.17,0.12,0.58,-,0.38,0.66,1.26,1.07,0.95,1.01,4.58,3.72,0.26,0.32,1.53,1.81,3.78,4.89,0.7,0.42,-,3.74,0.84,0.78,0.86,1.26,7.66,7.12,7.19,5.29,0.62,0.61,-,-,0.13,0.0,0.05,0.0,7.93,5.33,0.26,0.36,-,-,0.01,0.01,3.54,4.91,0.31,0.41,0.5,-,0.0,0.0,0.27,0.0,0.09,0.0,0.25,0.0,0.1,4.39,0.0,5.37,0.06,-,3.12,3.6,0.47,0.54,-,-,0.36,0.0,0.75,0.2,0.18,-,0.57,0.99,0.89,1.04,0.02,0.02,0.45,0.0,0.04,0.09,0.75,0.48,0.58,0.3,0.0,0.12,3.95,3.7,15.27,12.19,10.8,9.65,12.65,11.07,10.24,12.89,-,4.2,3.18,1.6,12.23,12.23,15.91,16.46,12.28,10.85,9.32,8.1,4.49,6.54,7.59,7.65,8.2,14.02,8.15,7.08,5.03,5.91,5.46,5.94,7.29,8.81,11.4,10.68,3.65,1.73,17.18,14.46,13.02,5.13,7.32,5.44,5.45,3.36,14.78,12.76,13.56,9.16,12.62,13.02,13.63,8.77,6.06,5.36,0.12,0.96,1.48,0.6,0.17,0.09,0.0,-,-,-,-,-,-,0.28,-
2020-06-01 14:00 - 16:00,702.23,0.26,0.19,1.06,2.11,0.67,0.73,0.0,0.0,3.32,3.27,0.16,0.63,-,0.38,0.66,1.43,1.17,1.02,1.12,4.68,3.72,0.29,0.33,1.53,1.82,4.09,5.86,0.68,0.4,-,3.79,0.84,0.82,0.89,1.26,7.85,7.29,7.62,5.67,0.65,0.63,-,-,0.13,0.0,0.05,0.0,7.93,6.09,0.24,0.45,-,-,0.0,0.09,3.73,5.27,0.33,0.38,0.5,-,0.0,0.0,0.23,0.0,0.12,0.0,0.24,0.0,0.14,4.51,0.0,5.37,0.06,-,3.31,3.99,0.54,0.57,-,-,0.38,0.0,0.9,0.19,0.19,-,0.67,1.16,1.04,1.2,0.02,0.04,0.49,0.0,0.04,0.09,0.8,0.59,0.64,0.3,0.0,0.12,2.47,4.1,18.39,14.17,12.72,11.36,14.18,8.99,11.44,14.22,-,4.99,3.98,1.8,14.32,14.32,16.5,17.9,14.31,12.21,10.22,9.13,5.04,7.22,8.16,8.3,9.57,16.26,9.24,8.18,5.48,5.91,6.29,6.43,8.15,9.44,11.8,11.22,4.2,1.9,18.56,15.65,13.68,5.48,7.91,5.59,5.68,3.51,15.8,13.57,14.59,9.54,13.09,13.69,14.2,9.39,6.21,5.69,0.13,1.06,1.51,0.61,0.17,0.09,0.0,-,-,-,-,-,-,0.28,-
2020-06-01 16:00 - 18:00,724.38,0.34,0.2,1.18,2.0,0.69,0.74,0.0,0.0,3.37,3.31,0.16,0.63,-,0.34,0.69,1.53,1.17,1.04,1.12,4.68,3.69,0.33,0.33,1.42,1.9,4.09,5.97,0.68,0.45,-,3.79,0.81,0.82,0.95,1.27,7.95,7.35,7.73,5.67,0.66,0.64,-,-,0.13,0.0,0.05,0.0,-,6.09,0.24,0.52,-,-,0.0,0.09,4.38,5.27,0.4,0.4,0.5,-,0.0,0.0,0.23,0.0,0.12,0.0,0.24,0.0,0.14,4.58,0.0,5.37,0.06,-,3.41,3.99,0.59,0.62,-,-,0.38,0.0,0.9,0.19,0.2,-,0.67,1.32,1.1,1.2,0.03,0.04,0.5,0.0,0.06,0.08,0.8,0.59,0.64,0.33,0.0,0.11,2.48,4.14,18.39,14.56,13.26,11.73,14.2,13.11,12.67,14.92,-,5.43,4.17,1.94,15.11,15.11,18.52,19.04,15.88,13.79,11.12,10.08,5.22,8.13,8.87,8.94,9.71,17.08,10.18,9.03,5.56,5.9,6.46,6.43,8.15,9.68,11.8,11.22,4.25,1.92,18.56,15.65,13.68,5.48,8.08,5.74,5.68,3.51,15.87,17.21,14.59,9.54,13.12,13.69,14.28,9.52,6.21,5.69,0.13,1.06,1.51,0.67,0.16,0.06,0.0,-,-,-,-,-,-,0.22,-
2020-06-01 18:00 - 20:00,769.63,0.41,0.25,1.34,2.18,0.8,0.78,0.0,0.0,3.86,4.02,0.14,0.68,-,0.36,0.83,1.68,1.25,1.08,1.14,4.82,4.43,0.33,0.34,1.52,2.04,4.45,6.22,0.7,0.46,-,4.33,0.81,0.84,0.95,1.36,7.95,7.94,7.98,6.2,0.76,0.7,-,-,0.13,0.0,0.06,0.0,-,6.59,0.27,0.53,-,-,0.01,0.09,4.38,5.98,0.4,1.57,0.54,-,0.0,0.0,0.27,0.0,0.12,0.0,0.33,0.0,0.13,5.06,0.0,5.96,0.05,-,3.88,4.83,0.65,0.62,-,-,0.47,0.0,0.9,0.19,0.26,-,0.73,1.32,1.1,1.18,0.04,0.04,0.57,0.0,0.06,0.11,0.81,0.59,0.62,0.33,0.0,0.11,2.62,4.28,19.11,14.76,13.96,11.73,14.2,14.16,12.94,15.64,-,5.43,4.17,1.94,15.68,15.68,18.52,19.27,15.88,13.79,11.12,10.08,5.53,8.13,8.87,8.94,11.26,17.77,10.18,9.03,6.31,6.74,7.3,7.69,9.22,11.4,13.13,11.78,4.96,2.13,20.48,17.31,14.76,5.9,8.92,6.39,5.88,3.79,17.57,17.39,16.02,10.71,15.2,15.0,15.18,9.89,6.35,6.01,0.16,0.96,1.46,0.72,0.12,0.05,0.0,-,-,-,-,-,-,0.23,-
