Fecha,Total,Vlan100(routerposorja),Vlan100(routeralausi),Vlan200(routerposorja),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routermanta),Vlan200(routermanta),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routertena),Vlan200(routertena),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routeresmeraldas),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerotavalo),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan200(routerotavalo),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routermontecristi),Vlan200(routermontecristi),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routeresmeraldas2),Vlan200(routeresmeraldas2),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan1001(routeruiob),Vlan2004(routeruios),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan2003(routergyei),Vlan1002(routergyem),Vlan2002(routergyem)
2020-03-01 00:00 - 02:00,720.25,0.56,0.25,0.0,0.04,0.0,0.01,0.04,0.69,0.68,0.28,0.28,0.06,0.0,0.15,0.0,0.09,0.69,0.59,0.5,7.84,7.38,0.12,0.0,7.97,7.24,0.44,0.14,-,4.3,3.37,4.18,0.0,0.01,0.05,1.11,0.03,0.03,3.13,3.19,0.25,0.0,6.25,6.6,1.2,1.34,0.67,0.67,0.43,-,0.34,0.37,0.24,0.17,0.02,-,3.41,3.65,0.0,0.0,0.48,0.59,0.75,0.92,3.75,3.48,0.07,0.53,1.09,3.79,5.78,4.63,4.28,0.93,0.94,0.54,0.18,0.84,0.48,1.89,1.58,0.94,0.1,0.0,0.08,0.0,1.3,0.0,0.1,0.07,-,0.27,-,0.15,0.35,0.13,0.09,0.16,1.13,2.92,2.73,0.12,0.0,-,4.35,3.52,1.39,13.76,13.76,11.45,-,7.24,13.24,12.54,13.29,5.11,2.46,9.26,8.23,17.68,10.06,10.14,12.35,11.59,10.55,11.49,15.14,-,-,6.34,8.29,-,-,6.4,7.11,0.13,1.04,1.65,0.83,0.11,0.07,0.0,21.09,19.1,10.9,10.16,-,10.24,1.9,7.0,17.6,19.11,17.2,11.41,16.04,15.48,14.15,11.05,12.28,16.74,11.26,10.92,-,-,-,6.33,-,-,7.11,5.65,7.76,3.81,14.72,4.44,8.94,9.26,3.26,7.49,8.02
2020-03-01 02:00 - 04:00,413.1,0.34,0.13,0.0,0.01,0.0,0.0,0.01,0.36,0.38,0.15,0.15,0.05,0.0,0.1,0.0,0.03,0.4,0.24,0.25,4.45,4.26,0.04,0.0,5.26,4.83,0.21,0.07,-,2.23,1.71,2.33,0.0,0.01,0.03,0.85,0.01,0.01,1.9,1.96,0.12,0.0,6.25,4.14,0.62,0.6,0.25,0.27,0.19,-,0.16,0.19,0.13,0.07,0.01,-,1.88,2.05,0.0,0.0,0.3,0.37,0.38,0.5,2.03,2.01,0.04,0.26,0.64,2.19,3.5,2.25,2.3,0.32,0.34,0.32,0.09,0.4,0.24,0.9,0.89,0.43,0.07,0.0,0.04,0.0,0.56,0.0,0.03,0.05,-,0.11,-,0.06,0.23,0.07,0.02,0.13,0.58,1.77,1.69,0.04,0.0,-,1.94,1.8,0.61,6.24,6.24,5.29,-,4.37,8.53,7.62,7.27,3.31,1.36,4.81,4.53,7.45,5.11,4.98,6.22,5.11,5.21,6.09,7.72,-,-,4.38,5.3,-,-,4.4,5.02,0.09,0.67,1.14,0.58,0.11,0.04,0.0,13.08,12.13,6.09,5.61,-,8.44,1.27,3.81,11.17,11.87,10.52,7.52,10.66,10.74,8.58,6.73,5.63,7.89,5.21,5.15,-,-,-,3.33,-,-,5.02,3.91,5.39,2.9,6.67,2.13,4.63,4.61,2.99,4.83,5.15
2020-03-01 04:00 - 06:00,186.09,0.15,0.07,0.0,0.01,0.0,0.0,0.02,0.18,0.16,0.14,0.07,0.03,0.0,0.04,0.0,0.04,0.14,0.1,0.11,2.08,1.99,0.03,0.0,2.35,2.04,0.1,0.03,-,0.95,0.83,1.4,0.0,0.0,0.01,0.36,0.01,0.01,0.71,0.77,0.1,0.0,2.63,1.67,0.24,0.28,0.16,0.12,0.09,-,0.1,0.1,0.04,0.03,0.01,-,0.91,1.06,0.0,0.0,0.14,0.21,0.17,0.25,0.83,0.74,0.02,0.12,0.33,1.03,1.35,0.93,0.82,0.29,0.21,0.12,0.05,0.27,0.16,0.41,0.42,0.33,0.08,0.0,0.04,0.0,0.54,0.0,0.02,0.03,-,0.05,-,0.03,0.1,0.02,0.02,0.03,0.37,0.9,0.76,0.04,0.0,-,1.03,0.72,0.48,3.59,3.59,2.35,-,2.1,3.9,3.27,3.39,1.31,0.63,1.88,1.74,4.12,2.04,2.07,2.44,2.48,2.16,2.88,3.19,-,-,2.15,2.41,-,-,2.22,2.66,0.03,0.32,0.8,0.3,0.04,0.02,0.0,5.39,5.21,2.49,2.3,-,2.17,0.41,1.54,4.71,4.99,4.19,3.58,4.34,4.58,4.09,2.96,3.13,4.06,2.27,2.85,-,-,-,1.59,-,-,2.35,1.88,2.18,1.04,3.36,1.11,1.73,2.0,1.81,2.04,2.67
2020-03-01 06:00 - 08:00,330.82,0.24,0.15,0.0,0.03,0.0,0.0,0.02,0.5,0.37,0.27,0.14,0.06,0.0,0.13,0.0,0.08,0.3,0.32,0.3,3.63,3.03,0.05,0.0,3.3,2.89,0.25,0.08,-,1.79,1.84,2.33,0.0,0.0,0.03,0.56,0.04,0.01,1.25,1.5,0.19,0.0,3.7,2.68,0.7,0.6,0.39,0.31,0.3,-,0.21,0.22,0.14,0.1,0.01,-,1.85,1.79,0.0,0.0,0.16,0.25,0.49,0.67,2.16,1.98,0.03,0.34,0.65,1.61,2.29,2.5,2.15,0.63,0.59,0.28,0.11,0.49,0.32,0.72,0.76,0.68,0.08,0.0,0.07,0.0,0.99,0.0,0.04,0.06,-,0.08,-,0.13,0.25,0.12,0.06,0.08,0.96,1.27,1.21,0.09,0.0,-,2.49,1.97,1.09,8.06,8.06,5.73,-,2.84,4.34,5.11,5.18,1.8,0.74,4.56,4.41,10.29,5.94,5.35,6.36,6.56,5.37,6.58,8.14,-,-,2.22,3.13,-,-,2.52,2.44,0.04,0.41,0.6,0.27,0.07,0.02,0.0,7.62,6.54,4.5,4.65,-,2.81,0.78,3.11,6.59,6.21,6.64,3.68,5.27,5.85,5.2,3.64,7.8,9.33,5.87,6.45,-,-,-,3.85,-,-,2.82,2.22,2.36,1.14,8.22,2.67,4.74,4.84,3.04,2.77,2.83
2020-03-01 08:00 - 10:00,512.07,0.43,0.23,0.0,0.05,0.0,0.01,0.02,0.64,0.57,0.35,0.24,0.1,0.0,0.14,0.0,0.12,0.43,0.51,0.45,6.09,5.37,0.07,0.0,5.28,5.3,0.44,0.13,-,3.07,2.75,3.18,0.0,0.0,0.04,0.82,0.06,0.02,2.17,2.29,0.21,0.0,6.62,4.65,1.01,1.03,0.58,0.46,0.37,-,0.26,0.3,0.16,0.14,0.01,-,2.28,2.53,0.0,0.0,0.33,0.46,0.68,0.7,3.29,3.06,0.04,0.39,0.87,2.76,4.27,3.38,2.94,0.72,0.68,0.43,0.15,0.61,0.36,1.27,1.2,0.81,0.09,0.0,0.1,0.0,1.03,0.0,0.07,0.1,-,0.16,-,0.16,0.28,0.13,0.08,0.11,1.24,2.13,2.02,0.1,0.0,-,3.16,2.39,1.24,9.5,9.5,7.49,-,4.54,8.08,9.45,9.53,3.28,1.26,5.94,5.78,12.95,7.34,7.54,8.37,8.45,7.35,8.08,9.38,-,-,4.24,6.07,-,-,4.53,4.37,0.09,0.75,0.99,0.5,0.15,0.03,0.0,14.79,13.3,8.51,7.4,-,5.51,1.46,6.13,13.07,12.47,12.64,7.56,10.81,11.22,10.67,7.16,9.84,12.05,7.78,8.1,-,-,-,4.66,-,-,4.8,3.67,4.43,1.97,9.8,3.53,5.8,5.39,6.04,5.08,4.87
2020-03-01 10:00 - 12:00,598.29,0.47,0.24,0.0,0.05,0.0,0.01,0.03,0.66,0.57,0.35,0.32,0.1,0.0,0.19,0.0,0.12,0.67,0.59,0.53,7.27,6.48,0.07,0.0,6.85,5.97,0.53,0.14,-,3.66,2.86,3.6,0.0,0.0,0.07,0.92,0.06,0.05,2.47,2.96,0.31,0.0,7.82,5.4,1.26,1.23,0.64,0.47,0.49,-,0.29,0.44,0.18,0.16,0.01,-,2.59,2.94,0.0,0.0,0.45,0.61,0.75,0.81,3.53,3.37,0.06,0.49,1.04,3.52,5.21,3.66,3.2,0.72,0.81,0.43,0.15,0.73,0.46,1.68,1.42,0.87,0.11,0.0,0.19,0.0,1.2,0.0,0.08,0.12,-,0.2,-,0.17,0.32,0.18,0.08,0.11,1.29,2.89,2.53,0.14,0.0,-,3.16,2.79,1.24,10.37,10.37,8.07,-,5.27,10.23,11.08,11.38,3.88,1.76,6.51,6.09,13.31,7.53,7.77,8.72,8.89,7.62,9.04,10.21,-,-,5.1,7.13,-,-,5.85,6.17,0.12,0.91,1.25,0.73,0.15,0.06,0.0,17.98,16.23,10.07,9.34,-,6.7,1.95,6.71,15.49,16.41,15.37,10.17,13.71,14.36,13.44,10.26,10.06,12.91,8.25,8.54,-,-,-,5.02,-,-,5.81,4.31,5.98,2.87,11.03,3.54,6.12,6.23,7.3,6.02,6.65
2020-03-01 12:00 - 14:00,636.86,0.54,0.29,0.0,0.06,0.0,0.01,0.05,0.66,0.62,0.42,0.34,0.09,0.0,0.2,0.0,0.11,0.67,0.62,0.57,7.99,6.92,0.08,0.0,7.35,6.81,0.53,0.17,-,4.1,2.86,3.9,0.0,0.0,0.08,0.99,0.05,0.05,2.81,3.2,0.31,0.0,7.88,5.78,1.45,1.35,0.64,0.59,0.56,-,0.29,0.44,0.22,0.18,0.02,-,2.63,2.98,0.0,0.0,0.59,0.61,0.75,0.95,3.77,3.37,0.07,0.49,1.04,3.57,5.23,3.87,3.31,0.71,0.86,0.48,0.16,0.75,0.46,1.86,1.55,1.04,0.11,0.0,0.19,0.0,1.26,0.0,0.08,0.16,-,0.34,-,0.17,0.34,0.18,0.07,0.09,1.29,2.89,2.53,0.14,0.0,-,3.02,2.79,1.41,10.77,10.77,8.07,-,5.79,10.56,11.78,12.47,4.3,1.79,6.51,6.29,14.26,7.72,8.17,8.81,9.43,7.63,9.04,10.46,-,-,5.1,7.52,-,-,6.06,6.86,0.15,0.99,1.31,0.79,0.16,0.07,0.0,19.12,17.54,10.76,9.69,-,6.95,2.02,7.06,18.33,18.06,17.25,11.05,15.3,15.91,14.07,10.87,10.85,14.2,8.96,9.37,-,-,-,5.24,-,-,6.39,4.92,6.5,3.22,11.03,3.81,6.41,6.6,7.31,6.35,7.05
2020-03-01 14:00 - 16:00,701.85,0.55,0.29,0.0,0.06,0.0,0.01,0.05,0.69,0.65,0.42,0.38,0.08,0.0,0.21,0.0,0.11,0.62,0.62,0.6,7.99,7.31,0.08,0.0,7.89,7.15,0.54,0.17,-,4.1,3.22,4.65,0.0,0.01,0.09,1.0,0.05,0.04,3.14,3.2,0.34,0.0,7.99,5.93,1.45,1.47,0.76,0.68,0.56,-,0.31,0.41,0.24,0.19,0.03,-,3.02,3.34,0.0,0.0,0.6,0.58,0.84,0.95,3.77,3.45,0.08,0.68,1.16,3.57,5.44,4.21,4.05,0.76,0.94,0.51,0.19,0.77,0.56,1.86,1.55,1.1,0.1,0.0,0.11,0.0,1.35,0.0,0.07,0.16,-,0.34,-,0.2,0.42,0.15,0.09,0.12,1.39,2.79,2.68,0.14,0.0,-,3.8,3.22,1.6,13.61,13.61,9.6,-,6.21,11.76,12.44,13.04,4.3,2.03,8.04,7.92,16.76,9.33,10.14,11.33,11.29,9.49,10.96,13.05,-,-,5.23,7.83,-,-,6.59,7.41,0.15,1.06,1.65,0.82,0.16,0.07,0.0,20.65,18.34,10.99,9.69,-,7.71,2.12,7.22,18.48,18.06,17.33,11.05,15.39,16.26,14.61,10.87,13.61,16.8,11.55,11.02,-,-,-,6.78,-,-,6.78,5.02,6.57,3.22,13.54,4.71,7.97,7.9,7.72,7.49,7.45
2020-03-01 16:00 - 18:00,726.77,0.55,0.25,0.0,0.04,0.0,0.01,0.04,0.75,0.66,0.38,0.38,0.1,0.0,0.21,0.0,0.08,0.7,0.62,0.6,-,7.36,0.08,0.0,7.89,7.23,0.6,0.2,-,4.01,3.55,4.65,0.0,0.01,0.09,1.06,0.06,0.04,3.14,3.01,0.35,0.0,7.99,6.45,1.43,1.47,0.81,0.68,0.52,-,0.34,0.41,0.24,0.21,0.03,-,3.26,3.5,0.0,0.0,0.6,0.58,0.86,0.95,3.75,3.61,0.08,0.68,1.28,3.6,5.85,4.43,4.7,0.91,1.05,0.54,0.19,0.84,0.56,1.85,1.49,1.1,0.11,0.0,0.11,0.0,1.47,0.0,0.08,0.15,-,0.26,-,0.2,0.42,0.19,0.09,0.12,1.55,2.84,2.76,0.15,0.0,-,4.34,4.03,1.6,14.22,14.22,11.05,-,7.14,12.21,12.44,13.04,4.21,2.19,9.12,8.74,17.99,10.53,10.83,13.25,12.55,10.81,12.42,14.91,-,-,5.54,7.83,-,-,6.59,7.41,0.15,1.06,1.65,0.82,0.14,0.07,0.0,20.65,18.34,10.99,9.79,-,7.71,2.12,7.26,18.48,17.81,17.33,10.98,15.58,16.26,14.61,10.82,14.4,18.47,12.27,12.14,-,-,-,7.23,-,-,7.11,5.09,6.58,3.42,15.32,5.12,9.1,9.5,7.72,7.49,7.91
2020-03-01 18:00 - 20:00,766.46,0.64,0.25,0.0,0.05,0.0,0.0,0.03,0.84,0.75,0.32,0.37,0.89,0.0,0.2,0.0,0.1,0.7,0.61,0.62,7.93,7.74,0.09,0.0,7.92,7.54,0.62,0.21,-,4.34,4.21,5.33,0.0,0.01,0.08,1.12,0.06,0.05,3.25,3.29,0.35,0.0,7.99,6.82,1.42,1.46,0.81,0.84,0.47,-,0.34,0.41,0.29,0.24,0.03,-,3.53,4.15,0.0,0.0,0.56,0.58,0.88,1.02,4.3,4.02,0.05,0.64,1.33,3.71,6.01,4.77,4.7,1.04,1.2,0.55,0.17,0.87,0.54,2.08,1.68,1.14,0.11,0.0,0.17,0.0,1.5,0.0,0.08,0.14,-,0.28,-,0.25,0.48,0.2,0.1,0.13,1.58,3.24,2.76,0.16,0.0,-,4.79,4.08,1.66,15.25,15.25,13.25,-,7.96,14.42,12.66,13.23,4.35,2.63,9.78,9.61,19.43,11.05,11.28,13.71,12.85,10.81,13.79,16.11,-,-,5.68,7.72,-,-,6.5,6.91,0.15,1.06,1.55,0.87,0.2,0.06,0.0,21.49,19.17,11.45,10.53,-,8.24,2.2,7.89,17.88,18.36,17.13,10.88,15.58,15.74,13.95,10.72,14.72,19.09,12.27,12.35,-,-,-,7.23,-,-,7.34,5.21,7.29,3.42,16.84,5.17,9.58,9.54,8.04,8.14,8.0
