Fecha,Total,Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routeralausi),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routermanta),Vlan100(routertena),Vlan200(routertena),Vlan100(routerbalzar),Vlan200(routermanta),Vlan200(routerbalzar),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routeresmeraldas),Vlan100(routermontecristi),Vlan200(routermontecristi),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routeresmeraldas2),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routercoca),Vlan200(routercoca),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan200(routeresmeraldas2),Vlan2003(routergyea),Vlan1004(routergyei)
2020-05-01 00:00 - 02:00,777.57,2.3,1.21,5.88,6.68,-,4.41,0.03,-,0.8,0.81,0.95,1.08,0.8,0.45,0.0,0.01,0.36,0.1,0.0,0.54,0.63,0.05,0.0,0.25,0.0,0.34,0.38,3.59,3.85,0.25,0.23,4.89,6.63,0.71,0.0,1.19,1.1,0.7,1.48,7.79,7.17,0.0,0.0,0.29,0.37,4.45,5.92,0.21,0.75,0.75,0.66,7.94,0.68,0.21,0.5,7.99,-,4.59,3.98,3.86,4.6,3.77,5.28,0.12,0.0,0.16,0.18,-,0.27,-,0.12,0.0,0.67,0.6,1.21,1.1,0.24,0.47,0.49,1.12,0.0,0.06,0.01,0.04,0.08,0.07,0.13,0.0,-,0.0,0.36,0.0,2.9,0.81,0.69,0.51,0.17,0.27,0.0,14.23,15.86,-,5.46,4.16,1.7,15.2,15.2,1.16,1.43,18.0,14.59,13.7,12.09,11.41,15.19,9.51,8.92,13.69,15.08,8.75,10.07,6.67,6.98,0.08,0.94,1.66,0.92,0.17,0.05,0.0,6.78,7.04,7.73,8.1,16.23,17.15,15.38,11.64,10.61,9.49,5.1,7.5,11.7,12.14,13.77,12.31,5.22,-,19.91,15.83,17.05,11.47,17.39,16.21,18.2,10.18,21.53,18.54,13.22,8.48,8.79,6.66,-,3.76,-,-,-,-,-,-,3.92,2.21,6.14
2020-05-01 02:00 - 04:00,465.59,1.39,0.62,5.88,4.32,-,2.36,0.0,-,0.45,0.61,0.48,0.6,0.52,0.29,0.0,0.0,0.21,0.04,0.0,0.28,0.31,0.01,0.0,0.14,0.0,0.18,0.21,2.42,2.35,0.11,0.14,3.05,4.6,0.29,0.0,0.53,0.61,0.37,1.03,5.69,4.29,0.0,0.0,0.14,0.16,2.35,3.4,0.09,0.49,0.37,0.29,5.76,0.38,0.1,0.22,4.98,-,2.44,2.14,2.46,2.63,2.15,4.31,0.04,0.0,0.08,0.1,-,0.07,-,0.08,0.0,0.37,0.46,0.52,0.5,0.11,0.25,0.27,0.54,0.0,0.06,0.0,0.02,0.07,0.05,0.09,0.0,-,0.0,0.21,0.0,1.88,0.39,0.34,0.34,0.11,0.2,0.0,7.13,8.37,-,2.93,2.14,0.79,7.49,7.49,0.7,0.88,9.97,7.93,7.39,7.04,6.13,7.91,5.03,4.74,7.97,9.09,4.99,5.71,4.87,4.59,0.05,0.64,1.15,0.59,0.09,0.04,0.0,4.99,4.73,5.33,4.91,8.78,9.44,8.64,6.54,5.63,5.16,2.68,4.37,7.68,8.01,8.8,7.49,3.38,-,12.04,10.43,10.09,8.1,11.51,10.34,11.26,6.28,14.08,12.11,7.7,4.77,5.77,4.61,-,2.06,-,-,-,-,-,-,2.72,1.48,3.44
2020-05-01 04:00 - 06:00,202.66,0.81,0.31,3.03,2.08,-,1.13,0.0,-,0.19,0.24,0.25,0.32,0.23,0.16,0.0,0.0,0.17,0.05,0.0,0.12,0.19,0.01,0.0,0.07,0.0,0.09,0.14,1.14,1.08,0.06,0.07,1.1,1.77,0.15,0.0,0.27,0.3,0.2,0.49,2.36,1.92,0.0,0.0,0.07,0.09,1.05,1.55,0.05,0.22,0.18,0.17,2.78,0.18,0.04,0.14,2.05,-,1.14,0.86,1.02,1.14,0.85,2.2,0.06,0.0,0.08,0.07,-,0.05,-,0.07,0.0,0.2,0.22,0.32,0.31,0.05,0.13,0.14,0.33,0.0,0.04,0.0,0.01,0.06,0.03,0.05,0.0,-,0.0,0.11,0.0,0.82,0.23,0.21,0.15,0.08,0.09,0.0,2.89,3.35,-,1.3,0.78,0.51,3.97,3.97,0.4,0.55,3.74,3.26,2.99,2.88,2.62,3.44,2.09,1.85,2.94,3.27,1.99,2.25,2.4,2.15,0.05,0.28,0.61,0.18,0.1,0.03,0.0,2.36,1.94,2.3,2.45,3.89,4.13,3.69,2.77,2.32,2.37,1.18,1.89,3.37,3.41,3.66,3.59,1.48,-,4.84,4.19,4.17,3.48,5.59,4.13,4.67,2.49,5.99,5.48,3.42,1.87,2.37,2.05,-,0.79,-,-,-,-,-,-,1.28,0.66,1.36
2020-05-01 06:00 - 08:00,353.95,1.15,0.59,3.77,2.76,-,2.03,0.01,-,0.39,0.42,0.52,0.57,0.36,0.23,0.0,0.0,0.23,0.05,0.0,0.29,0.3,0.03,0.0,0.16,0.0,0.18,0.22,2.01,1.82,0.14,0.1,1.98,2.83,0.3,0.0,0.65,0.51,0.38,0.7,3.9,2.92,0.0,0.0,0.14,0.17,2.13,2.55,0.12,0.33,0.37,0.32,4.15,0.32,0.06,0.31,3.52,-,2.49,2.17,1.66,1.96,1.83,2.73,0.07,0.0,0.06,0.1,-,0.08,-,0.07,0.0,0.35,0.29,0.71,0.67,0.12,0.22,0.33,0.73,0.0,0.03,0.01,0.02,0.02,0.03,0.11,0.0,-,0.0,0.22,0.0,1.34,0.39,0.31,0.41,0.13,0.14,0.0,6.85,7.71,-,2.68,1.83,1.01,8.0,8.0,0.79,0.99,8.49,6.76,6.3,5.25,5.55,6.89,4.42,4.12,6.92,7.17,4.45,4.92,3.0,2.53,0.07,0.43,0.79,0.28,0.1,0.03,0.0,2.83,3.06,2.84,3.24,8.17,8.17,6.6,5.44,5.19,4.23,2.28,3.91,4.21,4.65,6.11,5.75,1.99,-,8.27,6.25,7.21,4.39,7.01,6.54,7.77,4.14,8.92,6.81,6.67,3.89,3.85,2.81,-,2.08,-,-,-,-,-,-,1.66,0.9,2.99
2020-05-01 08:00 - 10:00,546.03,1.68,0.81,5.96,4.51,-,3.35,0.02,-,0.61,0.63,0.77,0.77,0.56,0.33,0.0,0.0,0.25,0.1,0.0,0.46,0.44,0.04,0.0,0.17,0.0,0.24,0.35,2.9,2.89,0.18,0.23,3.16,4.78,0.49,0.0,0.88,0.9,0.45,1.19,6.34,4.81,0.0,0.0,0.19,0.27,3.12,4.14,0.14,0.58,0.56,0.53,6.24,0.55,0.13,0.43,5.56,-,3.53,3.01,2.53,3.1,3.06,3.97,0.08,0.0,0.1,0.15,-,0.13,-,0.14,0.0,0.48,0.41,0.98,0.88,0.15,0.32,0.56,1.02,0.0,0.07,0.02,0.06,0.03,0.05,0.13,0.0,-,0.0,0.29,0.0,2.06,0.58,0.43,0.41,0.16,0.18,0.0,8.92,10.75,-,3.83,2.75,1.34,11.58,11.58,0.94,1.35,12.72,9.84,9.5,8.71,7.87,10.19,6.35,6.13,9.27,9.87,5.91,6.81,4.61,4.41,0.1,0.8,1.1,0.41,0.1,0.06,0.0,4.25,4.84,4.69,5.18,12.49,13.23,11.26,8.43,7.91,7.15,3.73,5.46,6.48,7.43,10.03,8.9,3.24,-,13.02,10.4,12.09,7.44,11.1,10.98,12.89,6.63,14.91,11.84,10.33,6.42,6.57,4.29,-,3.17,-,-,-,-,-,-,2.53,1.33,4.82
2020-05-01 10:00 - 12:00,638.77,1.88,1.03,6.94,5.14,-,3.92,0.02,-,0.66,0.77,0.88,0.94,0.69,0.42,0.0,0.0,0.27,0.11,0.0,0.51,0.47,0.09,0.0,0.23,0.0,0.36,0.35,3.38,3.39,0.24,0.23,3.6,5.44,0.57,0.0,1.06,1.11,0.68,1.23,7.66,5.5,0.0,0.0,0.27,0.31,3.64,4.62,0.19,0.68,0.66,0.63,7.34,0.55,0.13,0.47,6.54,-,3.91,3.67,2.92,3.45,3.35,4.84,0.08,0.0,0.1,0.17,-,0.18,-,0.14,0.0,0.55,0.48,1.03,1.2,0.16,0.36,0.56,1.08,0.0,0.07,0.03,0.06,0.03,0.07,0.15,0.0,-,0.0,0.4,0.0,2.36,0.62,0.52,0.45,0.2,0.27,0.0,10.81,12.77,-,4.36,3.48,1.66,12.68,12.68,1.09,1.6,15.13,11.21,11.43,10.19,9.3,11.92,7.49,7.14,11.09,11.61,7.11,7.96,5.75,5.41,0.1,0.8,1.3,0.63,0.1,0.16,0.0,4.9,5.88,5.58,5.99,14.27,14.4,12.12,9.38,9.08,8.26,4.42,6.15,7.48,8.62,11.51,10.31,4.07,-,15.93,12.7,13.47,9.34,13.65,13.24,15.58,8.07,17.42,14.62,12.13,7.41,7.63,5.22,-,3.52,-,-,-,-,-,-,3.27,1.62,5.3
2020-05-01 12:00 - 14:00,732.27,2.17,1.22,7.93,6.07,-,4.57,0.02,-,0.75,0.91,0.88,0.94,0.8,0.44,0.0,0.0,0.31,0.13,0.0,0.55,0.53,0.09,0.0,0.27,0.0,0.39,0.41,3.51,3.95,0.28,0.25,4.35,6.95,0.63,0.0,1.06,1.11,0.68,1.4,7.88,6.48,0.0,0.0,0.27,0.31,3.98,5.36,0.21,0.77,0.79,0.73,7.95,0.44,0.13,0.53,7.61,-,4.29,3.91,3.38,4.13,3.63,5.16,0.15,0.0,0.09,0.18,-,0.27,-,0.13,0.0,0.63,0.56,1.15,1.2,0.22,0.42,0.52,1.08,0.0,0.08,0.03,0.05,0.03,0.07,0.15,0.0,-,0.0,0.4,0.0,2.74,0.69,0.61,0.62,0.21,0.29,0.0,11.15,13.43,-,4.8,3.62,1.67,14.1,14.1,1.21,1.71,16.2,12.75,12.53,11.26,10.07,13.25,8.5,8.28,12.35,13.04,8.44,8.79,6.67,6.47,0.1,0.94,1.46,0.83,0.1,0.16,0.0,5.88,6.93,6.77,7.32,16.37,15.52,14.03,11.14,10.0,9.24,4.86,6.84,8.45,9.17,13.58,12.33,4.76,-,19.33,15.77,17.86,11.37,16.81,16.32,18.29,10.04,20.91,17.64,13.93,8.3,8.42,6.39,-,3.89,-,-,-,-,-,-,3.58,2.05,6.05
2020-05-01 14:00 - 16:00,830.02,2.25,1.3,7.93,6.57,-,4.92,0.02,-,0.79,0.95,1.02,1.2,0.88,0.47,0.0,0.02,0.38,0.13,0.0,0.57,0.67,0.06,0.0,0.3,0.0,0.48,0.42,3.93,4.2,0.28,0.25,5.07,7.45,0.76,0.0,1.52,1.22,0.68,1.63,7.88,7.43,0.0,0.0,0.33,0.37,4.65,6.28,0.25,0.85,0.84,0.82,7.95,0.67,0.21,0.54,7.61,-,4.73,4.49,4.19,4.62,4.51,6.04,0.15,0.0,0.11,0.23,-,0.33,-,0.13,0.0,0.68,0.69,1.29,1.44,0.26,0.54,0.63,1.45,0.0,0.11,0.06,0.05,0.03,0.08,0.14,0.0,-,0.0,0.44,0.0,2.96,0.87,0.73,0.66,0.25,0.3,0.0,13.73,16.54,-,5.62,4.42,2.09,16.63,16.63,1.4,1.94,20.1,15.59,14.59,13.18,11.94,15.94,9.68,9.37,13.59,15.08,9.42,10.91,7.19,7.5,0.15,1.01,1.78,0.87,0.1,0.15,0.0,6.53,7.49,8.15,7.97,18.8,19.45,16.81,12.62,11.56,10.89,5.71,8.36,10.37,11.1,15.01,13.4,5.4,-,21.13,16.58,18.23,11.99,18.66,17.25,19.78,10.34,23.48,19.19,14.98,9.04,9.96,7.11,-,4.29,-,-,-,-,-,-,3.92,2.37,6.68
2020-05-01 16:00 - 18:00,831.92,2.27,1.3,-,6.57,-,4.92,0.02,-,0.8,0.95,1.15,1.2,0.88,0.47,0.0,0.02,0.38,0.12,0.0,0.57,0.67,0.06,0.0,0.3,0.0,0.48,0.42,3.93,4.2,0.29,0.25,5.07,7.45,0.76,0.0,1.52,1.22,0.72,1.67,-,7.43,0.0,0.0,0.33,0.38,5.36,6.93,0.28,0.85,0.84,0.82,-,0.69,0.21,0.54,7.95,-,4.73,4.49,4.46,4.62,4.58,6.23,0.15,0.0,0.15,0.23,-,0.33,-,0.13,0.0,0.72,0.69,1.38,1.44,0.31,0.54,0.67,1.45,0.0,0.13,0.06,0.05,0.04,0.09,0.2,0.0,-,0.0,0.46,0.0,3.01,0.89,0.73,0.66,0.25,0.38,0.0,14.74,17.35,-,6.1,4.67,2.14,17.62,17.62,1.45,1.97,21.34,17.0,15.98,14.01,12.8,16.85,10.09,9.99,14.63,16.87,10.28,11.86,7.19,7.5,0.15,1.01,1.78,0.87,0.1,0.06,0.0,6.61,7.49,8.15,7.97,19.73,20.61,17.08,13.4,12.05,11.13,6.33,8.36,11.23,11.22,15.01,13.4,5.4,-,21.13,16.58,18.23,11.99,18.66,17.25,19.78,10.34,23.48,19.42,14.98,9.04,9.96,7.11,-,4.29,-,-,-,-,-,-,3.92,2.37,6.68
2020-05-01 18:00 - 20:00,831.86,2.45,1.28,-,6.55,-,5.02,0.02,-,0.8,0.99,1.17,1.24,0.82,0.47,0.0,0.1,0.36,0.11,0.0,0.61,0.72,0.07,0.0,0.29,0.0,0.44,0.46,4.08,4.41,0.43,0.26,4.98,7.29,0.71,0.0,1.07,1.31,0.81,1.69,-,7.34,0.0,0.0,0.32,0.38,5.36,6.93,0.28,0.87,0.81,0.8,-,0.69,0.2,0.71,7.99,-,4.83,4.6,4.46,4.84,4.58,6.23,0.16,0.0,0.15,0.23,-,0.27,-,0.13,0.0,0.78,0.62,1.44,1.44,0.31,0.53,0.67,1.45,0.0,0.13,0.05,0.05,0.04,0.09,0.2,0.0,-,0.0,0.5,0.0,3.08,0.89,0.71,0.64,0.22,0.38,0.0,14.74,17.35,-,6.1,4.67,2.14,17.62,17.62,1.45,2.05,21.34,17.0,15.98,14.01,12.8,16.85,10.09,9.99,14.63,16.87,10.28,11.86,7.41,7.41,0.13,0.93,1.75,0.86,0.14,0.06,0.0,6.85,7.15,8.04,8.46,19.73,20.61,17.08,13.4,12.05,11.13,6.33,8.27,11.23,11.66,15.32,13.81,5.13,-,20.39,16.56,17.23,12.08,18.19,16.73,19.43,10.3,23.58,20.39,14.77,9.27,9.79,7.08,-,4.36,-,-,-,-,-,-,4.02,2.26,6.64
