Fecha,Total,Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routerriobamba),Vlan200(routerriobamba),Vlan100(routeralausi),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routeresmeraldas),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routermontecristi),Vlan200(routermontecristi),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routertena),Vlan200(routertena),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routeresmeraldas2),Vlan200(routeresmeraldas2),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routermanta),Vlan200(routermanta),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan2001(routeruioa),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan1001(routeruiob),Vlan2001(routeruiob),Vlan1001(routeruiom),Vlan2001(routeruiom),Vlan1001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiod),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan2001(routergyek),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyem),Vlan2001(routergyem),Vlan1002(routergyem),Vlan2002(routergyem),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan2004(routeruios),Vlan1003(routeruios),Vlan1004(routeruios),Vlan1001(routergyea),Vlan1002(routergyea),Vlan1003(routergyea),Vlan2001(routergyea),Vlan2002(routergyea),Vlan2003(routergyea),Vlan1002(routergyei),Vlan2002(routergyei),Vlan1001(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2001(routergyei),Vlan2003(routergyei),Vlan2004(routergyei),Vlan100(routerduran),Vlan200(routerduran),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruios),Vlan2003(routeruios),Vlan1004(routeruios),Vlan2004(routeruios),Vlan1001(routeruios),Vlan2001(routeruios),Vlan2002(routeruiod),Vlan1001(routeruiod),Vlan1003(routeruiod),Vlan1002(routeruiod),Vlan2003(routeruiod),Vlan1001(routeruioa),Vlan558(routeruiom),Vlan200(routeresmeraldas),Vlan1001(routergyes),Vlan3001(routergyes),Vlan1002(routergyes),Vlan2001(routergyes),Vlan1001(routergyea),Vlan1002(routergyea)
2019-10-01 00:00 - 02:00,515.0,0.07,0.0,3.95,4.16,2.36,2.51,1.36,1.0,3.31,2.32,0.48,0.0,-,-,0.21,0.77,0.59,0.41,0.41,0.3,0.32,0.02,0.55,0.81,0.16,0.1,2.79,2.18,0.72,0.86,0.0,0.0,0.01,-,-,-,0.0,0.0,3.42,3.59,0.3,0.08,0.07,0.0,0.0,0.02,3.04,2.97,0.78,0.0,0.01,0.51,0.22,0.18,0.09,-,0.11,0.0,0.34,0.4,-,-,5.93,5.08,2.9,0.75,0.31,-,1.23,1.17,5.25,5.94,6.12,5.54,0.0,0.01,0.81,-,0.04,0.0,0.21,0.26,0.22,0.28,0.64,0.31,0.13,0.0,0.66,0.74,0.16,0.32,0.28,0.12,0.0,0.0,0.1,0.88,0.0,0.0,0.55,0.56,0.0,0.0,6.99,2.61,2.36,0.78,0.0,8.4,10.73,8.86,7.02,7.43,9.94,6.57,8.79,7.83,7.5,6.99,9.35,11.17,7.3,5.52,5.55,4.18,0.51,0.47,0.77,0.92,0.08,0.03,0.0,-,-,6.22,5.38,4.63,2.48,4.21,6.12,5.85,5.9,10.37,12.39,11.57,7.65,11.1,10.46,-,6.6,7.34,10.08,7.05,7.42,4.75,3.03,6.2,4.46,11.07,10.32,2.85,6.64,7.7,1.33,14.6,11.68,6.03,5.52,1.2,6.56,6.46,4.32,0.12,0.6,-,-,-,0.0,0.0,0.04,0.26,0.0,0.0,-,-,-,-,-,-,-,-,-,-,8.92,-,-,-
2019-10-01 02:00 - 04:00,219.39,0.02,0.0,1.62,1.67,1.12,1.1,0.46,0.43,1.31,0.86,0.21,0.0,-,-,0.08,0.3,0.29,0.16,0.14,0.1,0.19,0.01,0.23,0.29,0.06,0.03,1.12,0.99,0.29,0.3,0.0,0.0,0.01,-,-,-,0.0,0.0,1.42,1.61,0.11,0.04,0.02,0.0,0.0,0.01,1.18,1.0,0.3,0.0,0.01,0.17,0.1,0.1,0.06,-,0.03,0.0,0.18,0.15,-,-,2.91,2.54,1.12,0.69,0.09,-,0.67,0.86,2.43,2.99,2.65,2.37,0.0,0.0,0.38,-,0.01,0.0,0.08,0.05,0.13,0.17,0.21,0.13,0.08,0.0,0.24,0.23,0.05,0.07,0.16,0.04,0.0,0.0,0.07,0.32,0.0,0.0,0.18,0.15,0.0,0.0,2.6,0.83,0.81,0.28,0.0,2.84,3.39,2.94,2.76,3.1,3.29,2.38,3.14,2.78,2.79,2.49,3.9,4.72,2.88,2.02,2.82,2.33,0.24,0.23,0.41,0.49,0.07,0.03,0.0,-,-,3.23,2.85,2.61,1.26,2.26,3.1,2.9,2.68,4.82,6.09,5.68,3.99,5.52,4.85,-,3.44,2.57,3.5,2.66,2.71,1.85,0.92,2.05,1.66,5.21,4.52,1.19,2.93,3.13,0.57,6.61,5.58,2.28,2.58,0.48,2.68,2.64,1.45,0.08,0.26,-,-,-,0.0,0.0,0.1,0.17,0.0,0.0,-,-,-,-,-,-,-,-,-,-,3.94,-,-,-
2019-10-01 04:00 - 06:00,160.56,0.04,0.0,1.15,1.31,0.86,0.78,0.38,0.31,1.12,0.86,0.08,0.0,-,-,0.11,0.38,0.33,0.11,0.14,0.19,0.14,0.01,0.19,0.23,0.07,0.07,0.85,0.8,0.27,0.33,0.0,0.0,0.0,-,-,-,0.0,0.0,0.96,1.0,0.12,0.06,0.03,0.0,0.0,0.01,1.13,1.02,0.13,0.0,0.0,0.12,0.12,0.05,0.04,-,0.05,0.0,0.13,0.14,-,-,0.92,0.95,0.62,0.62,0.12,-,0.8,0.97,1.51,1.59,1.99,1.81,0.01,0.0,0.26,-,0.02,0.0,0.18,0.11,0.09,0.14,0.18,0.15,0.07,0.0,0.37,0.48,0.06,0.11,0.12,0.04,0.0,0.0,0.08,0.49,0.0,0.0,0.27,0.3,0.0,0.0,2.64,1.01,0.72,0.39,0.0,3.13,4.33,3.59,2.38,2.6,3.47,2.43,3.02,2.81,2.56,2.81,3.3,3.97,2.62,2.05,1.4,0.96,0.12,0.15,0.27,0.27,0.07,0.02,0.0,-,-,1.66,1.11,1.43,0.67,1.35,1.66,2.01,1.47,2.69,3.01,3.13,1.87,2.74,2.38,-,1.61,2.74,3.51,2.53,2.55,1.84,0.87,2.21,1.66,3.31,2.55,0.87,1.97,2.08,0.4,3.79,2.86,1.53,1.49,0.3,1.75,1.52,1.26,0.07,0.16,-,-,-,0.0,0.0,0.1,0.24,0.0,0.0,-,-,-,-,-,-,-,-,-,-,2.18,-,-,-
2019-10-01 06:00 - 08:00,234.42,0.04,0.0,1.9,2.29,1.28,1.14,0.66,0.43,2.18,1.46,0.08,0.0,-,-,0.15,0.56,0.48,0.24,0.2,0.22,0.23,0.02,0.31,0.38,0.1,0.07,1.37,1.07,0.48,0.47,0.0,0.0,0.0,-,-,-,0.0,0.0,1.63,1.71,0.2,0.07,0.04,0.0,0.02,0.01,1.57,1.33,0.11,0.0,0.01,0.23,0.13,0.12,0.1,-,0.05,0.0,0.17,0.21,-,-,0.83,0.8,1.11,0.82,0.2,-,1.19,1.45,2.49,2.49,3.14,2.45,0.01,0.01,0.57,-,0.03,0.0,0.2,0.25,0.16,0.14,0.38,0.21,0.11,0.0,0.47,0.5,0.11,0.12,0.14,0.09,0.0,0.0,0.08,0.72,0.0,0.0,0.39,0.3,0.0,0.0,3.49,1.19,0.88,0.59,0.0,3.7,4.59,3.73,3.53,4.6,4.76,3.21,3.69,3.43,3.12,3.08,6.18,5.18,3.35,2.66,2.59,1.6,0.4,0.28,0.36,0.48,0.11,0.05,0.0,-,-,3.05,1.87,2.47,0.98,1.91,2.78,2.4,2.06,4.09,4.8,5.41,2.85,4.0,4.02,-,2.7,4.51,5.45,3.45,3.89,2.1,1.23,2.87,2.15,3.83,4.31,0.87,2.32,3.09,0.42,5.99,4.23,2.78,2.17,0.64,3.44,2.74,2.4,0.09,0.21,-,-,-,0.0,0.0,0.19,0.3,0.0,0.0,-,-,-,-,-,-,-,-,-,-,4.03,-,-,-
2019-10-01 08:00 - 10:00,299.12,0.09,0.0,2.49,2.91,1.53,1.53,0.78,0.52,2.47,2.06,0.26,0.0,-,-,0.15,0.64,0.59,0.27,0.3,0.26,0.24,0.02,0.4,0.45,0.12,0.07,1.37,1.28,0.6,0.61,0.0,0.0,0.0,-,-,-,0.0,0.0,2.24,2.23,0.31,0.07,0.06,0.0,0.02,0.02,1.74,1.57,0.34,0.0,0.01,0.33,0.15,0.2,0.11,-,0.1,0.0,0.17,0.24,-,-,2.6,1.63,1.65,1.08,0.22,-,1.5,1.87,3.27,3.18,3.87,3.01,0.01,0.01,0.71,-,0.05,0.0,0.23,0.29,0.17,0.22,0.38,0.21,0.11,0.0,0.53,0.62,0.13,0.15,0.24,0.11,0.0,0.0,0.12,0.86,0.0,0.0,0.41,0.33,0.0,0.0,3.76,1.27,0.89,0.71,0.0,4.06,5.13,3.81,4.36,5.6,5.69,3.5,4.27,4.28,3.62,3.61,7.81,5.77,3.71,3.1,3.38,2.51,0.62,0.48,0.55,0.57,0.15,0.05,0.0,-,-,4.03,2.55,3.54,1.39,2.86,3.96,2.65,2.46,6.03,7.0,7.61,3.89,5.83,5.76,-,3.97,5.49,6.03,4.43,4.26,2.63,1.41,3.3,2.62,4.43,5.6,1.34,2.63,4.39,0.6,8.25,6.24,3.92,2.82,0.83,4.62,3.55,3.4,0.1,0.3,-,-,-,0.0,0.0,0.19,0.41,0.0,0.0,-,-,-,-,-,-,-,-,-,-,5.44,-,-,-
2019-10-01 10:00 - 12:00,329.73,0.1,0.0,2.96,3.4,1.65,1.6,1.05,0.7,2.56,2.06,0.32,0.0,-,-,0.18,0.88,0.66,0.34,0.34,0.26,0.27,0.03,0.42,0.49,0.12,0.09,1.47,1.33,0.71,0.73,0.0,0.0,0.01,-,-,-,0.0,0.0,2.57,2.31,0.37,0.11,0.06,0.0,0.02,0.02,1.75,1.64,0.47,0.0,0.03,0.38,0.21,0.24,0.12,-,0.11,0.0,0.26,0.27,-,-,3.81,2.61,1.81,1.25,0.27,-,1.51,1.96,3.75,4.31,4.24,3.45,0.01,0.01,0.72,-,0.05,0.0,0.25,0.3,0.18,0.25,0.44,0.21,0.13,0.0,0.53,0.74,0.13,0.15,0.27,0.12,0.0,0.0,0.12,0.96,0.0,0.0,0.41,0.33,0.0,0.0,3.76,1.27,1.05,0.76,0.0,4.06,5.13,4.0,4.62,5.76,5.79,3.5,4.62,4.28,3.7,3.68,8.74,6.58,4.21,3.25,4.21,2.98,0.73,0.51,0.61,0.65,0.16,0.07,0.0,-,-,4.51,2.82,4.0,1.65,2.86,4.32,2.98,2.99,6.85,7.76,8.24,4.64,6.78,6.76,-,4.49,5.49,6.03,4.67,4.5,2.65,1.46,3.36,2.78,5.13,6.53,1.69,2.96,5.02,0.7,8.94,6.95,4.18,3.08,0.92,5.05,3.87,3.58,0.11,0.35,-,-,-,0.0,0.0,0.16,0.41,0.0,0.0,-,-,-,-,-,-,-,-,-,-,6.18,-,-,-
2019-10-01 12:00 - 14:00,462.85,0.1,0.0,4.1,4.29,2.35,2.24,1.37,1.0,3.51,2.66,0.44,0.0,-,-,0.23,0.98,0.82,0.39,0.46,0.36,0.33,0.04,0.56,0.76,0.18,0.12,2.33,2.09,1.05,0.88,0.0,0.0,0.01,-,-,-,0.0,0.0,3.5,3.3,0.48,0.15,0.07,0.0,0.02,0.02,2.64,2.87,0.64,0.0,0.03,0.51,0.24,0.28,0.13,-,0.11,0.0,0.34,0.37,-,-,5.57,4.71,2.46,1.84,0.33,-,2.13,2.88,5.49,6.41,6.17,5.16,0.01,0.01,1.0,-,0.09,0.0,0.35,0.36,0.21,0.25,0.63,0.42,0.19,0.0,0.73,1.01,0.21,0.24,0.29,0.12,0.0,0.0,0.1,1.23,0.0,0.0,0.59,0.48,0.0,0.0,6.04,1.86,1.44,0.94,0.0,6.67,7.37,5.33,5.78,7.28,8.98,4.94,6.59,6.22,5.61,5.42,10.65,8.96,5.99,4.77,5.57,4.3,0.75,0.57,0.75,1.06,0.16,0.08,0.0,-,-,5.83,4.37,4.68,2.12,3.67,5.65,4.1,4.07,10.08,10.83,11.15,7.03,9.74,9.42,-,6.68,7.31,8.9,6.36,6.27,4.24,2.29,5.42,3.97,6.97,9.37,1.98,3.86,7.22,1.01,13.08,9.88,5.95,4.44,1.24,6.8,5.44,4.61,0.2,0.48,-,-,-,0.0,0.0,0.16,0.4,0.0,0.0,-,-,-,-,-,-,-,-,-,-,8.4,-,-,-
2019-10-01 14:00 - 16:00,492.58,0.1,0.0,4.1,4.29,2.35,2.24,1.37,1.06,3.55,2.74,0.46,0.0,-,-,0.24,1.03,0.85,0.39,0.46,0.37,0.38,0.04,0.6,0.78,0.18,0.13,2.47,2.1,1.06,0.88,0.0,0.0,0.02,-,-,-,0.0,0.0,3.5,3.3,0.49,0.16,0.07,0.0,0.02,0.02,2.7,2.94,0.68,0.0,0.02,0.53,0.24,0.28,0.13,-,0.1,0.0,0.34,0.37,-,-,5.65,4.89,2.56,1.84,0.33,-,2.17,3.01,5.49,6.41,6.28,5.38,0.01,0.04,1.0,-,0.09,0.0,0.36,0.38,0.28,0.27,0.67,0.42,0.26,0.0,0.73,1.02,0.21,0.25,0.29,0.13,0.0,0.0,0.13,1.37,0.0,0.0,0.69,0.54,0.0,0.0,7.01,2.15,1.98,1.04,0.0,7.9,9.06,6.62,6.25,7.73,9.7,5.45,7.78,7.02,6.4,6.12,11.18,10.33,6.24,5.07,5.57,4.42,0.8,0.57,0.88,1.06,0.16,0.08,0.0,-,-,6.26,4.48,5.0,2.4,4.08,5.97,4.49,4.66,10.08,10.89,11.17,7.03,9.86,9.42,-,6.68,8.4,9.8,7.4,7.06,4.46,2.55,6.13,4.64,8.71,9.37,2.41,4.43,7.23,1.17,13.47,10.18,5.95,4.54,1.24,6.83,5.63,4.61,0.2,0.49,-,-,-,0.0,0.0,0.14,0.41,0.0,0.0,-,-,-,-,-,-,-,-,-,-,8.46,-,-,-
2019-10-01 16:00 - 18:00,511.64,0.08,0.0,4.02,4.53,2.55,2.34,1.54,1.16,3.66,2.74,0.58,0.0,-,-,0.27,1.09,0.85,0.37,0.5,0.37,0.38,0.03,0.6,0.78,0.2,0.15,2.47,2.1,1.06,0.85,0.0,0.0,0.02,-,-,-,0.0,0.0,3.4,3.33,0.49,0.16,0.09,0.0,0.02,0.02,2.84,2.94,0.73,0.0,0.01,0.55,0.25,0.28,0.14,-,0.14,0.0,0.34,0.38,-,-,5.94,5.0,2.56,1.67,0.36,-,2.18,3.01,5.05,6.22,6.28,5.38,0.0,0.04,0.96,-,0.09,0.0,0.36,0.4,0.3,0.27,0.69,0.41,0.26,0.0,0.75,1.02,0.2,0.26,0.32,0.13,0.0,0.0,0.15,1.38,0.0,0.0,0.75,0.61,0.0,0.0,7.32,2.65,2.11,1.14,0.0,8.13,9.86,7.37,6.29,7.76,10.75,6.62,8.29,8.18,6.88,7.27,11.18,10.66,6.8,5.18,5.51,4.42,0.93,0.56,0.88,1.05,0.15,0.08,0.0,-,-,6.26,4.48,5.0,2.4,4.08,5.97,5.04,4.78,9.71,11.06,11.22,7.01,9.93,9.18,-,6.55,9.33,10.82,8.25,8.19,5.05,2.84,6.94,5.08,8.76,9.73,2.41,4.82,7.45,1.37,13.47,10.49,6.17,4.54,1.19,6.99,5.68,4.87,0.2,0.51,-,-,-,0.0,0.0,0.15,0.43,0.0,0.0,-,-,-,-,-,-,-,-,-,-,8.46,-,-,-
2019-10-01 18:00 - 20:00,569.59,0.08,0.0,4.58,5.43,2.55,2.72,1.63,1.18,3.66,3.08,0.63,0.0,-,-,0.27,1.1,0.85,0.41,0.5,0.41,0.42,0.03,0.66,0.83,0.2,0.16,3.0,2.5,0.89,0.96,0.0,0.0,0.02,-,-,-,0.0,0.0,3.89,3.81,0.48,0.16,0.09,0.0,0.01,0.02,3.39,2.95,0.77,0.0,0.02,0.62,0.25,0.28,0.15,-,0.15,0.0,0.4,0.48,-,-,6.29,5.55,2.5,1.76,0.4,-,2.47,3.32,5.3,5.69,6.97,5.5,0.01,0.01,1.03,-,0.08,0.0,0.35,0.42,0.3,0.31,0.72,0.37,0.27,0.0,0.87,1.06,0.19,0.27,0.41,0.16,0.0,0.0,0.15,1.38,0.0,0.0,0.76,0.78,0.0,0.0,8.27,3.12,2.7,1.24,0.0,10.25,11.7,9.24,7.37,7.76,12.35,7.34,9.27,8.87,7.69,8.05,9.82,10.66,6.8,5.18,5.53,4.52,0.93,0.56,0.89,0.98,0.15,0.06,0.0,-,-,5.71,4.95,4.58,2.29,3.93,6.68,5.48,5.9,11.86,12.82,13.39,8.17,11.64,10.92,-,7.41,10.67,12.46,9.02,8.92,5.9,3.24,7.95,5.48,10.28,11.05,2.94,5.86,8.29,1.43,16.26,12.22,7.3,5.14,1.35,8.24,6.82,5.78,0.19,0.61,-,-,-,0.0,0.0,0.16,0.48,0.0,0.0,-,-,-,-,-,-,-,-,-,-,9.86,-,-,-
