Fecha,Total,Vlan100(routermanta),Vlan200(routermanta),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routertena),Vlan200(routertena),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routerriobamba),Vlan200(routerriobamba),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routeralausi),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routeresmeraldas),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routeresmeraldas2),Vlan200(routeresmeraldas2),Vlan1001(routeruiob),Vlan2001(routeruiob),Vlan1001(routeruiom),Vlan2001(routeruiom),Vlan2001(routeruioa),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan1002(routergyei),Vlan2002(routergyei),Vlan1001(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2001(routergyei),Vlan2003(routergyei),Vlan2004(routergyei),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiod),Vlan1001(routergyea),Vlan1002(routergyea),Vlan1003(routergyea),Vlan2001(routergyea),Vlan2002(routergyea),Vlan2003(routergyea),Vlan1001(routergyem),Vlan2001(routergyem),Vlan1002(routergyem),Vlan2002(routergyem),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan4001(routergyes),Vlan1002(routergyes),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan2004(routeruios),Vlan1003(routeruios),Vlan1004(routeruios),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan2001(routergyek),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruios),Vlan2003(routeruios),Vlan1004(routeruios),Vlan2004(routeruios),Vlan1001(routeruios),Vlan2001(routeruios),Vlan2002(routeruiod),Vlan1001(routeruiod),Vlan1003(routeruiod),Vlan1002(routeruiod),Vlan2003(routeruiod),Vlan1001(routeruioa),Vlan558(routeruiom),Vlan200(routeresmeraldas),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1001(routergyea),Vlan1002(routergyea)
2019-09-01 00:00 - 02:00,543.64,5.76,5.05,3.43,3.55,0.0,-,0.27,0.12,0.32,0.29,1.41,0.84,2.35,2.49,0.74,0.0,0.06,0.0,0.01,0.51,0.2,0.55,0.29,0.34,0.0,0.0,5.21,6.0,0.43,0.73,4.43,3.8,7.03,4.63,0.22,0.22,0.79,0.69,0.27,0.13,0.12,0.1,0.0,2.5,2.14,2.33,3.06,0.71,0.86,0.24,0.37,0.32,-,0.02,0.01,-,-,0.42,0.0,0.92,0.95,3.52,4.91,0.16,-,0.06,0.0,3.29,2.95,0.39,0.15,0.0,0.29,0.32,0.01,0.0,0.72,0.74,0.18,0.23,0.89,-,0.23,0.31,-,-,-,-,0.69,0.29,0.07,0.0,0.17,0.0,-,-,0.09,1.02,-,-,11.6,8.6,6.57,6.83,7.39,2.95,2.47,0.85,0.0,9.25,16.06,11.67,6.54,5.19,1.37,7.12,5.93,4.6,2.83,2.87,9.08,11.15,7.36,5.66,11.89,7.18,8.89,8.77,7.7,8.17,10.59,10.52,2.61,5.48,7.86,1.28,4.04,6.35,5.36,5.87,11.06,12.78,12.83,10.2,12.15,8.91,7.46,9.74,8.83,12.13,8.38,8.25,5.88,3.5,7.31,4.81,-,-,5.37,5.31,4.19,2.51,5.46,4.63,0.42,0.4,0.85,0.85,0.07,0.04,0.0,-,-,-,0.0,0.0,0.02,0.35,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 02:00 - 04:00,303.71,3.31,3.1,2.06,1.88,0.0,-,0.15,0.08,0.14,0.15,0.61,0.47,1.46,1.5,0.4,0.0,0.03,0.0,0.0,0.27,0.09,0.26,0.18,0.2,0.0,0.0,3.12,3.82,0.24,0.3,1.91,1.73,4.16,2.68,0.12,0.13,0.53,0.34,0.09,0.06,0.11,0.06,0.0,1.38,1.19,1.09,1.67,0.41,0.56,0.16,0.14,0.14,-,0.0,0.0,-,-,0.23,0.0,0.49,0.4,1.9,2.53,0.04,-,0.05,0.0,1.63,1.67,0.24,0.09,0.0,0.18,0.15,0.0,0.0,0.3,0.29,0.07,0.13,0.48,-,0.18,0.17,-,-,-,-,0.32,0.17,0.05,0.0,0.08,0.0,-,-,0.06,0.54,-,-,5.75,4.22,3.71,3.84,3.84,1.5,1.4,0.45,0.0,4.76,8.7,7.05,3.39,3.28,0.71,3.75,3.29,2.16,1.38,1.49,4.79,6.4,4.18,3.02,5.79,3.71,4.8,4.59,4.42,4.12,7.33,6.85,1.84,3.91,5.03,0.99,2.63,3.72,3.24,3.47,6.15,7.25,6.98,6.39,6.68,5.26,4.04,5.39,4.33,6.05,4.12,4.2,2.97,1.95,3.57,2.51,-,-,3.41,3.48,2.76,1.67,3.59,2.82,0.32,0.27,0.58,0.61,0.07,0.02,0.0,-,-,-,0.0,0.0,0.02,0.14,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 04:00 - 06:00,136.59,1.37,1.41,0.76,0.83,0.0,-,0.06,0.04,0.14,0.11,0.24,0.23,0.59,0.61,0.15,0.0,0.05,0.0,0.0,0.09,0.07,0.08,0.08,0.08,0.0,0.0,1.29,1.75,0.14,0.17,1.05,0.95,1.92,1.31,0.05,0.06,0.21,0.19,0.09,0.04,0.04,0.03,0.0,0.68,0.53,0.52,0.9,0.29,0.36,0.09,0.09,0.09,-,0.0,0.0,-,-,0.08,0.0,0.22,0.18,0.8,1.16,0.03,-,0.02,0.0,0.7,0.64,0.14,0.04,0.0,0.07,0.07,0.0,0.0,0.28,0.17,0.04,0.06,0.19,-,0.08,0.07,-,-,-,-,0.15,0.13,0.01,0.0,0.07,0.0,-,-,0.06,0.39,-,-,2.84,1.89,1.67,1.77,2.19,0.81,0.57,0.36,0.0,2.59,3.42,3.26,1.19,1.41,0.28,1.43,1.16,0.92,0.68,0.69,2.25,2.78,1.63,1.6,2.96,1.79,2.25,2.12,1.86,1.93,3.01,2.31,0.69,1.61,1.81,0.33,1.26,1.74,1.52,1.55,2.35,2.84,2.64,2.78,2.59,2.15,1.74,2.08,2.23,2.86,2.13,2.29,1.5,0.83,1.88,1.27,-,-,1.7,1.52,1.46,0.84,1.61,1.47,0.18,0.16,0.37,0.25,0.04,0.01,0.0,-,-,-,0.0,0.0,0.01,0.16,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 06:00 - 08:00,305.2,3.38,2.82,2.05,1.9,0.0,-,0.25,0.06,0.21,0.18,0.61,0.49,1.44,1.48,0.36,0.0,0.06,0.0,0.02,0.28,0.12,0.3,0.21,0.22,0.0,0.0,2.81,3.28,0.3,0.37,2.86,2.54,3.45,2.62,0.13,0.15,0.56,0.44,0.16,0.08,0.1,0.06,0.0,1.28,1.02,1.44,1.55,0.55,0.65,0.13,0.21,0.23,-,0.01,0.01,-,-,0.25,0.0,0.56,0.49,2.11,3.02,0.08,-,0.04,0.0,1.57,1.67,0.28,0.09,0.01,0.16,0.24,0.0,0.0,0.49,0.4,0.09,0.19,0.55,-,0.22,0.21,-,-,-,-,0.42,0.2,0.04,0.0,0.13,0.0,-,-,0.04,0.8,-,-,6.93,4.98,3.35,3.66,4.88,1.91,1.43,0.78,0.0,5.74,8.28,6.01,3.76,2.82,0.84,4.27,3.28,2.91,1.76,1.96,4.77,6.0,4.02,3.51,7.18,4.42,5.32,5.55,4.93,4.94,6.09,5.51,1.57,3.31,4.17,0.94,1.96,3.36,2.99,2.97,5.64,6.28,6.69,4.87,5.65,4.45,3.76,5.24,5.59,6.78,4.84,5.07,3.37,1.82,4.72,3.08,-,-,2.79,2.4,2.27,1.12,2.88,2.2,0.22,0.16,0.44,0.49,0.05,0.02,0.0,-,-,-,0.0,0.0,0.02,0.31,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 08:00 - 10:00,426.58,4.92,4.08,2.84,2.92,0.0,-,0.32,0.12,0.32,0.28,0.92,0.62,1.94,2.15,0.58,0.0,0.07,0.0,0.02,0.42,0.14,0.45,0.32,0.33,0.0,0.0,3.97,4.72,0.4,0.5,4.14,3.39,5.16,3.39,0.21,0.19,0.74,0.62,0.22,0.13,0.14,0.08,0.0,1.74,1.46,1.85,2.27,0.64,0.75,0.21,0.29,0.34,-,0.01,0.01,-,-,0.38,0.0,0.84,0.73,2.85,3.95,0.1,-,0.08,0.0,2.34,2.07,0.35,0.16,0.01,0.22,0.31,0.0,0.0,0.64,0.53,0.12,0.21,0.79,-,0.24,0.32,-,-,-,-,0.49,0.26,0.06,0.0,0.18,0.0,-,-,0.05,1.06,-,-,8.29,6.53,4.54,5.01,5.79,2.26,1.93,0.91,0.0,7.14,13.19,9.8,5.92,4.23,1.19,6.53,5.4,4.55,2.46,2.45,6.55,8.12,5.5,4.42,9.24,5.71,7.01,6.99,6.13,6.43,8.02,8.1,2.24,4.45,6.28,1.12,2.92,4.91,4.49,4.29,8.71,9.52,10.07,7.48,8.75,6.69,5.84,7.61,7.1,8.87,6.34,6.38,4.15,2.41,5.42,4.02,-,-,4.33,3.62,3.24,1.85,4.57,3.59,0.4,0.28,0.54,0.75,0.09,0.02,0.0,-,-,-,0.0,0.0,0.05,0.34,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 10:00 - 12:00,467.96,5.38,4.22,2.97,3.12,0.0,-,0.38,0.14,0.32,0.28,1.19,0.85,2.33,2.46,0.7,0.0,0.08,0.0,0.02,0.46,0.2,0.5,0.33,0.33,0.0,0.0,4.5,5.28,0.41,0.6,4.33,3.75,5.97,3.99,0.23,0.21,0.77,0.72,0.27,0.14,0.18,0.08,0.0,1.91,1.48,1.97,2.51,0.69,0.83,0.25,0.32,0.34,-,0.01,0.01,-,-,0.43,0.0,0.96,0.81,3.19,4.28,0.13,-,0.09,0.0,2.52,2.2,0.41,0.17,0.01,0.28,0.36,0.0,0.0,0.66,0.57,0.14,0.28,0.82,-,0.24,0.32,-,-,-,-,0.51,0.29,0.08,0.0,0.19,0.0,-,-,0.1,1.17,-,-,8.75,6.76,4.83,5.31,5.93,2.33,2.2,1.0,0.0,7.14,14.06,10.43,6.16,4.42,1.28,6.67,5.53,4.8,2.67,2.51,7.18,8.73,5.61,4.65,9.33,5.91,7.21,7.04,6.25,6.43,8.92,9.52,2.52,4.96,7.14,1.23,3.17,5.59,4.89,5.04,10.63,11.44,11.56,9.37,10.42,7.89,7.01,9.0,7.33,10.03,6.7,6.64,4.43,2.7,5.79,4.47,-,-,4.88,4.34,3.56,2.05,5.22,4.23,0.45,0.38,0.67,0.85,0.09,0.05,0.0,-,-,-,0.0,0.0,0.05,0.37,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 12:00 - 14:00,494.24,5.69,4.54,3.14,3.25,0.0,-,0.38,0.14,0.31,0.25,1.2,0.94,2.37,2.61,0.74,0.0,0.09,0.0,0.01,0.49,0.22,0.51,0.4,0.36,0.0,0.0,4.8,5.67,0.41,0.6,4.26,4.05,6.18,4.51,0.25,0.26,0.87,0.72,0.27,0.14,0.18,0.08,0.0,2.0,1.54,1.97,2.51,0.71,0.83,0.25,0.33,0.39,-,0.01,0.01,-,-,0.47,0.0,0.96,0.9,3.71,4.79,0.18,-,0.09,0.0,2.52,2.2,0.41,0.17,0.01,0.28,0.37,0.0,0.0,0.73,0.57,0.14,0.28,0.91,-,0.23,0.26,-,-,-,-,0.54,0.3,0.08,0.0,0.24,0.0,-,-,0.1,1.17,-,-,8.75,6.76,4.87,5.31,6.24,2.34,2.2,1.0,0.0,7.31,15.28,11.68,6.78,4.94,1.46,7.15,5.86,5.06,2.72,2.71,7.25,8.73,6.01,4.65,9.92,6.42,7.55,7.14,6.26,6.72,9.56,11.0,2.68,4.96,8.44,1.38,3.44,6.15,4.97,5.07,11.26,11.86,12.71,9.85,11.24,8.5,7.34,9.49,7.79,10.03,7.58,6.78,4.56,2.89,5.88,4.47,-,-,5.2,4.68,3.79,2.12,5.41,4.69,0.48,0.42,0.77,0.96,0.12,0.05,0.0,-,-,-,0.0,0.0,0.03,0.37,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 14:00 - 16:00,530.5,6.03,4.93,3.33,3.32,0.0,-,0.4,0.16,0.3,0.3,1.36,0.94,2.42,2.61,0.74,0.0,0.09,0.0,0.01,0.49,0.22,0.52,0.4,0.36,0.0,0.0,4.94,5.98,0.43,0.62,5.14,4.39,6.44,4.85,0.25,0.27,0.94,0.68,0.29,0.14,0.15,0.09,0.0,2.26,1.6,2.19,2.82,0.8,0.96,0.22,0.35,0.39,-,0.01,0.02,-,-,0.49,0.0,0.91,0.98,3.85,5.19,0.18,-,0.09,0.0,2.62,2.62,0.39,0.11,0.03,0.27,0.37,0.0,0.0,0.75,0.59,0.16,0.28,0.91,-,0.25,0.29,-,-,-,-,0.57,0.3,0.08,0.0,0.24,0.0,-,-,0.1,1.21,-,-,10.37,7.79,5.88,6.13,7.0,2.7,2.43,1.07,0.0,9.04,15.4,11.68,6.78,4.94,1.46,7.16,5.86,5.06,2.8,2.71,8.06,10.47,6.72,5.25,11.22,7.34,8.8,8.27,7.22,8.13,9.74,11.0,2.89,5.11,8.44,1.51,3.58,6.29,5.21,5.36,11.26,12.31,12.8,10.09,11.52,8.95,7.46,9.69,8.5,11.75,8.11,7.7,5.32,3.42,7.0,4.52,-,-,5.2,4.86,4.14,2.5,5.72,4.9,0.49,0.42,0.88,1.01,0.12,0.05,0.0,-,-,-,0.0,0.0,0.03,0.4,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 16:00 - 18:00,560.56,6.19,5.08,3.33,3.41,0.0,-,0.4,0.17,0.3,0.3,1.42,1.0,2.49,2.53,0.74,0.0,0.09,0.0,0.01,0.49,0.21,0.55,0.35,0.36,0.0,0.0,4.94,5.98,0.44,0.66,6.78,4.79,6.97,4.85,0.22,0.28,0.95,0.78,0.35,0.15,0.17,0.1,0.0,2.62,1.92,2.56,2.97,0.88,0.97,0.29,0.35,0.39,-,0.02,0.02,-,-,0.49,0.0,0.85,0.98,3.91,5.19,0.12,-,0.09,0.0,3.12,2.82,0.37,0.13,0.04,0.27,0.36,0.0,0.0,0.86,0.73,0.17,0.29,0.9,-,0.34,0.35,-,-,-,-,0.6,0.34,0.08,0.0,0.29,0.0,-,-,0.1,1.35,-,-,11.92,8.82,6.59,7.01,7.59,2.98,2.84,1.08,0.0,9.63,15.4,11.61,6.67,4.89,1.43,7.25,5.98,4.87,2.84,2.77,9.32,11.45,7.69,5.85,12.15,7.99,9.72,9.39,8.25,8.84,10.36,10.39,3.0,5.7,8.04,1.54,3.76,6.29,5.35,5.37,11.25,12.31,12.8,10.09,11.52,8.95,7.46,9.69,9.82,13.41,9.05,8.88,6.33,3.79,7.87,5.21,-,-,5.26,5.02,4.14,2.5,5.72,4.9,0.49,0.49,0.88,1.01,0.11,0.04,0.0,-,-,-,0.0,0.0,0.03,0.43,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-09-01 18:00 - 20:00,616.77,6.79,5.85,3.59,3.68,0.0,-,0.4,0.17,0.39,0.37,1.55,1.16,2.56,2.7,0.79,0.0,0.09,0.0,0.02,0.52,0.19,0.63,0.37,0.44,0.0,0.0,5.17,6.46,0.49,0.84,6.78,5.36,7.02,5.26,0.26,0.28,0.95,0.84,0.35,0.19,0.17,0.1,0.0,2.79,2.23,2.9,3.46,0.96,1.01,0.29,0.39,0.37,-,0.04,0.01,-,-,0.49,0.0,1.09,0.99,4.16,5.22,0.14,-,0.07,0.0,3.46,3.54,0.4,0.15,0.04,0.3,0.34,0.0,0.0,0.86,0.84,0.19,0.35,0.96,-,0.34,0.35,-,-,-,-,0.64,0.36,0.08,0.0,0.29,0.0,-,-,0.1,1.37,-,-,13.92,10.78,7.65,7.98,8.79,3.49,3.1,1.21,0.0,11.09,16.76,12.3,7.23,5.41,1.36,8.19,6.59,5.41,3.07,3.26,11.63,14.17,9.4,7.4,13.91,9.05,10.78,10.36,9.54,9.78,12.04,11.31,3.0,6.81,8.36,1.54,4.39,7.0,5.76,5.97,10.85,13.24,13.28,10.22,11.6,8.77,7.6,9.85,11.34,14.26,10.31,9.75,6.65,3.9,9.39,6.31,-,-,5.81,5.66,4.28,2.61,5.72,5.05,0.48,0.49,0.88,1.08,0.09,0.03,0.0,-,-,-,0.0,0.0,0.05,0.44,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
